id,entity_id,counterparty_id,contract_id,invoice_number,invoice_date,due_date,total_amount,amount_paid,currency,contra_account_code,status,service_period_start,service_period_end,has_amortization_schedule,journal_entry_id,ai_extraction_raw,ai_confidence_score,contract_matched,approved_by,approved_at,rejection_reason,uploaded_by,pdf_s3_key,notes,created_at,updated_at,pdf_content_hash,net_amount,tax_amount,new_vendor,coa_source,sync_run_id,submitted_by,submitted_at,submit_override_reason,voided_by,voided_at,void_reason,rejected_by,rejected_at
2356,2,,,,1900-01-01,,0.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 0, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": """", ""closed_at"": ""2024-02-14T05:03:12.641Z"", ""created_at"": ""2024-02-11T08:54:52.422Z"", ""description"": ""Hi @zilla - here is the January incentive sheet for the Host team. Thank you. \nhttps://docs.google.com/spreadsheets/d/1qborKz_ujm7mGzpiSDM3VvB9-KXevgv11ShZ0MXTCD4/edit#gid=1452527354\n"", ""sub_category"": ""Others"", ""finance_db_id"": 389, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-02-14T05:03:12.641Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501645,2026-08-01 02:44:30.501649,,,,f,,,,,,,,,,
2359,2,,,,1900-01-01,,0.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 0, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": """", ""closed_at"": ""2024-06-04T01:29:56.928Z"", ""created_at"": ""2024-04-08T03:30:33.512Z"", ""description"": ""Please disregard. No need for payment as the key was already found"", ""sub_category"": ""Others"", ""finance_db_id"": 1542, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-06-04T01:29:56.928Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501654,2026-08-01 02:44:30.501654,,,,f,,,,,,,,,,
2360,3,,,,1900-01-01,,300.00,0.00,AUD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 300, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""AUD"", ""platform"": ""Drive mate"", ""closed_at"": ""2024-04-17T04:52:24.756Z"", ""created_at"": ""2024-04-16T11:31:38.266Z"", ""description"": ""Melbourne comedy fest give away for 3 winners - they get gift voucher - $50 + $50 (6 winners - $300) \nLink - https://drivelahoperations.slack.com/archives/CRPMYM44B/p1712657420360019 \nPlz huddle I will tell you how we need to purchase it. thanks \n"", ""sub_category"": ""Marketing services"", ""finance_db_id"": 1746, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-04-17T04:52:24.756Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501655,2026-08-01 02:44:30.501656,,,,f,,,,,,,,,,
2362,2,,,,1900-01-01,,200.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 200, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": """", ""closed_at"": ""2024-04-30T07:13:24.782Z"", ""created_at"": ""2024-04-30T06:58:19.332Z"", ""description"": ""Hi Z, Please transfer $200 to Jayjay's account because Haziq doesn't have singapore bank account. This is for key duplication. "", ""sub_category"": ""Others"", ""finance_db_id"": 2069, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-04-30T07:13:24.782Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501657,2026-08-01 02:44:30.501658,,,,f,,,,,,,,,,
2363,2,,,,1900-01-01,,2000.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 2000, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": """", ""closed_at"": ""2024-06-08T02:50:51.060Z"", ""created_at"": ""2024-06-03T01:41:31.625Z"", ""description"": ""Deposit for the law firm that will assist with collections - Indicate AC LT202407132 DRV"", ""sub_category"": ""Professional services"", ""finance_db_id"": 2947, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-06-08T02:50:51.060Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501658,2026-08-01 02:44:30.501659,,,,f,,,,,,,,,,
2364,2,,,,1900-01-01,,0.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 0, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": """", ""closed_at"": ""2024-06-08T06:27:27.193Z"", ""created_at"": ""2024-06-06T04:24:23.616Z"", ""description"": ""DELETE"", ""sub_category"": ""Others"", ""finance_db_id"": 3031, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-06-08T06:27:27.193Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501659,2026-08-01 02:44:30.50166,,,,f,,,,,,,,,,
2365,2,,,,1900-01-01,,3270.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 3270, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": """", ""closed_at"": ""2024-06-11T08:58:48.195Z"", ""created_at"": ""2024-06-06T06:01:43.639Z"", ""description"": ""Hi Zilla, Please pay TM excess plus GST $3270 for accident with vehicle SJR5001B\nGuest Nur has paid Sec 1 only (we waited for Roger's invoice of the damage before she could pay)\nSec 2 is still unpaid because she will only pay once she get the total damage cost of third party from Ben (POC from TM). For follow up\nInvoice: CD6E9F60-0004\nHi Sarah, for your approval please. Thank you!"", ""sub_category"": ""Workshop services"", ""finance_db_id"": 3034, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-06-11T08:58:48.195Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501661,2026-08-01 02:44:30.501661,,,,f,,,,,,,,,,
2366,2,,,,1900-01-01,,3000.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 3000, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": """", ""closed_at"": ""2024-06-19T08:59:52.044Z"", ""created_at"": ""2024-06-13T09:09:13.936Z"", ""description"": ""Hi Sarah pls approve payment to NTUC for Section II excess the accident happened 29-06-2023 and our guest made necessary reports. Reported the accident in a timely manner I asked Tokio marine for a loss adjuster/surveyor so we can negotiate the excess and they said that The final settlement had already been re-confirmed with our surveyor. The guest has max protect. \nTicket: https://app.intercom.co"", ""sub_category"": ""Workshop services"", ""finance_db_id"": 3220, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-06-19T08:59:52.044Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501662,2026-08-01 02:44:30.501662,,,,f,,,,,,,,,,
2368,2,,,,1900-01-01,,1362.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 1362, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": """", ""closed_at"": ""2024-07-01T02:06:42.291Z"", ""created_at"": ""2024-06-24T12:11:14.483Z"", ""description"": ""SEO Incrementors - monthly invoice "", ""sub_category"": ""Marketing services"", ""finance_db_id"": 3475, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-07-01T02:06:42.291Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501664,2026-08-01 02:44:30.501664,,,,f,,,,,,,,,,
2369,2,,,,1900-01-01,,0.00,0.00,SGD,,draft,,,f,,"{""recon"": {""stub"": true, ""coa_flag"": ""NO-COUNTERPARTY"", ""vendor_flag"": ""QUARANTINE"", ""document_gate"": ""ok"", ""ingest_outcome"": ""no_document_stub"", ""document_status"": ""NO_DOCUMENT""}, ""retool_ref"": {""type"": ""To be paid"", ""payee"": null, ""amount"": 0, ""status"": ""Closed"", ""category"": ""3rd party payment"", ""currency"": ""SGD"", ""platform"": ""Drive lah"", ""closed_at"": ""2024-08-19T08:09:22.142Z"", ""created_at"": ""2024-08-19T07:19:19.459Z"", ""description"": ""delete"", ""sub_category"": ""Workshop services"", ""finance_db_id"": 4614, ""sub_category_details"": null}, ""provisional_paid"": {""is_provisional_paid"": true, ""provisional_paid_at"": ""2024-08-19T08:09:22.142Z""}}",,f,,,,ingest:retool_nodoc_stub,,,2026-08-01 02:44:30.501665,2026-08-01 02:44:30.501665,,,,f,,,,,,,,,,
