invoice_id,prior_counterparty_id,new_counterparty_id,signal
2412,,84,Incrementors
2419,,27,ABWIN LEASING
2423,,125,RKA - Ridhi Karan
2424,,149,Ur Drive
2425,,144,Tokio Marine
2426,,146,Towlah
2428,,146,Towlah
2429,,102,MELBOURNE PRESTIGE CENTRE
2430,,72,Focussed Assessing Pty Ltd
2431,,146,Towlah SG Recovery
2432,,72,Focussed Assessing Pty Ltd
2433,,28,ACE
2434,,149,Ur Drive
2435,,72,Focussed Assessing Pty Ltd (ABN 92 143 234 066)
2436,,72,Focussed Assessing Pty Ltd (ABN 92 143 234 066)
2438,,72,Focussed Assessing Pty Ltd
2440,,655,Abdul Saaqib
2441,,111,Norman Chan
2442,,27,Abwin Leasing
2444,,138,Stephen Inner West Smash Repairs Pty Ltd
2445,,72,Focussed Assessing Pty Ltd
2446,,649,Altimobility Corp.(113-86-10472)
2447,,117,PACK SEND Marrickville
2448,,138,Stephen Inner West Smash Repairs
2449,,111,NORMAN CHAN
2450,,128,SELECTE PTE LTD
2451,,72,Focussed Assessing Pty Ltd
2452,,149,UR Drive
2453,,655,Abdul Saaqib
2454,,652,Rohde Smash Repairs
2455,,102,Melbourne Prestige Centre
2458,,72,Focussed Assessing Pty Ltd
2459,,80,HDB
2460,,246,maricon
2461,,72,Focussed Assessing Pty Ltd
2462,,27,Abwin Leasing
2463,,652,Rohde Smash Repairs
2465,,138,Stephen Inner West Smash Repairs Pty Ltd
2467,,149,Ur Drive
2468,,622,SMD Lawyers
2469,,120,Pier Counsel
2470,,246,maricon
2471,,111,NORMAN CHAN
2474,,138,Stephen Inner West Smash Repairs Pty Ltd
2476,,72,Focussed Assessing Pty Ltd (ABN 92 143 234 066)
2477,,274,Experian
2478,,28,ACE
2480,,72,Focussed	Assessing	Pty	Ltd	(ABN	92	143	234	066)
460,,149,URDrive
546,,655,Abdul Saaqib
564,,655,Abdul Saaqib
572,,655,Abdul Saaqib
602,,655,Abdul Saaqib
2376,,65,Digital Matter
2380,,123,RACQ
2381,,123,RACQ
768,,655,Abdul Saaqib
2392,,104,Moengage
791,,655,Abdul Saaqib
2410,,142,Thinxtra
2418,,31,Aircall
842,,655,Abdul Saaqib
2427,,83,Illion
882,,655,Abdul Saaqib
915,,655,Abdul Saaqib
689,,655,Abdul Saaqib
634,,655,Abdul Saaqib
1257,,149,URDrive
794,,146,Towlah
