invoice_id,counterparty_id,inv_amount,inv_currency,invoice_date,proposed_txn_id,txn_amount,txn_currency,txn_date,match_basis,amount_delta_sgd,date_gap_days,ref_confirmed,confidence
1591,509,,,,,,,,NONE,,,,
1592,111,,,,,,,,NONE,,,,
1593,28,,,,,,,,NONE,,,,
1594,651,,,,,,,,NONE,,,,
1595,355,,,,,,,,NONE,,,,
1596,144,3270.0,SGD,2026-01-23,9419,3270.0,SGD,2026-04-15,EXACT,0.0,82,N,MED
1597,355,194.18,SGD,2024-11-27,96715,234.36,AUD,2025-02-28,GST,16.744,93,Y,MED
1598,98,347.63,USD,2025-11-30,87864,466.14,SGD,2025-12-05,NEAR_1PCT,0.3158,5,N,MED
1599,142,,,,,,,,NONE,,,,
1600,752,2300.0,AUD,2024-11-27,96250,2301.0,AUD,2024-12-05,NEAR_1PCT,0.9,8,N,MED
1601,509,,,,,,,,NONE,,,,
1603,671,385.0,AUD,2025-12-19,10353,385.0,AUD,2026-04-15,EXACT,0.0,117,N,MED
1604,116,11476.44,USD,2024-12-31,9940,989.22,AUD,2026-02-10,AMOUNT_GAP,-14488.1316,406,Y,MED
1605,117,,,,,,,,NONE,,,,
1606,142,21564.35,AUD,2025-08-12,97626,15564.35,AUD,2025-11-05,AMOUNT_GAP,-5400.0,85,Y,MED
1607,72,110.0,AUD,2025-09-24,97804,110.0,AUD,2025-12-10,EXACT,0.0,77,N,HIGH
1608,752,5000.0,AUD,2025-09-10,97514,5000.0,AUD,2025-10-02,EXACT,0.0,22,Y,HIGH
1609,509,14602.45,AUD,2024-02-13,95846,14603.02,AUD,2024-02-19,NEAR_1PCT,0.513,6,N,MED
1610,70,,,,,,,,NONE,,,,
1612,694,5000.0,SGD,2025-11-04,97636,5902.94,AUD,2025-11-06,AMOUNT_GAP,312.646,2,N,LOW
1615,72,,,,,,,,NONE,,,,
1616,55,600.0,SGD,2025-09-08,95229,600.0,SGD,2025-11-06,EXACT,0.0,59,Y,HIGH
1617,698,,,,,,,,NONE,,,,
1619,86,,,,,,,,NONE,,,,
1620,699,,,,,,,,NONE,,,,
1621,111,814.0,AUD,2025-09-29,97638,814.0,AUD,2025-11-06,EXACT,0.0,38,Y,HIGH
