invoice_id,counterparty_id,inv_amount,inv_currency,invoice_date,proposed_txn_id,txn_amount,txn_currency,txn_date,match_basis,amount_delta_sgd,date_gap_days,ref_confirmed,confidence,group_id
238,80,360.0,SGD,2026-08-01,,,,,NONE,,,N,,
251,649,10000.0,USD,2026-06-01,10850,14616.88,AUD,2026-06-25,AMOUNT_GAP,-244.808,24,N,LOW,
253,70,2890.0,SGD,2026-07-09,,,,,NONE,,,N,,
265,70,130.79,SGD,2026-06-30,,,,,NONE,,,N,,
279,80,360.0,SGD,2026-07-01,,,,,NONE,,,N,,
285,649,10000.0,USD,2026-05-31,,,,,NONE,,,N,,
291,368,4650.72,AUD,2026-06-18,10868,4650.72,AUD,2026-06-26,EXACT,0.0,8,N,HIGH,
295,150,3097.18,AUD,2026-04-30,,,,,NONE,,,N,,
300,86,5000.0,AUD,2026-05-28,,,,,NONE,,,N,,
302,707,5204.35,AUD,2026-05-28,10948,5204.35,AUD,2026-07-07,EXACT,0.0,40,N,HIGH,
305,70,2785.0,SGD,2026-05-27,,,,,NONE,,,N,,
306,150,5775.51,AUD,2026-05-27,,,,,NONE,,,N,,
307,187,1777.12,AUD,2026-05-26,,,,,NONE,,,N,,
308,80,600.0,SGD,2026-06-01,,,,,NONE,,,N,,
309,649,10000.0,USD,2026-04-01,,,,,NONE,,,N,,
311,361,2911.26,AUD,2026-04-16,,,,,NONE,,,N,,
312,694,3000.0,SGD,2026-05-07,9468,3000.0,SGD,2026-05-19,EXACT,0.0,12,N,HIGH,
321,667,3421.6,AUD,2026-04-01,10686,1469.6,AUD,2026-05-21,AMOUNT_GAP,-1756.8,50,Y,MED,
322,187,3485.17,AUD,2026-05-06,10727,5262.29,AUD,2026-05-29,AMOUNT_GAP,1599.408,23,N,LOW,
323,163,286.37,AUD,2026-04-01,10581,286.37,AUD,2026-05-12,EXACT,0.0,41,N,HIGH,
325,649,10000.0,USD,2026-04-30,,,,,NONE,,,N,,
336,80,840.0,SGD,2026-05-01,,,,,NONE,,,N,,
340,70,100.0,SGD,2025-04-13,86516,86.0,SGD,2025-07-11,AMOUNT_GAP,-14.0,89,N,LOW,
342,70,510.0,SGD,2026-04-21,,,,,NONE,,,N,,
345,708,338.8,AUD,2026-04-16,,,,,NONE,,,N,,
346,709,212.02,NZD,2026-04-08,,,,,NONE,,,N,,
349,649,10000.0,USD,2026-03-31,,,,,NONE,,,N,,
353,187,2435.75,AUD,2026-04-16,10540,2435.75,AUD,2026-04-30,EXACT,0.0,14,N,HIGH,
354,361,1025.12,AUD,2026-03-31,,,,,NONE,,,N,,
358,119,69472.07,AUD,2026-03-30,,,,,NONE,,,N,,
378,106,3270.0,SGD,2026-03-29,10326,3645.48,AUD,2026-04-10,NEAR_1PCT,10.932,12,N,MED,
382,80,840.0,SGD,2026-04-01,,,,,NONE,,,N,,
384,671,385.0,AUD,2026-01-08,10355,350.0,AUD,2026-04-15,GST,-31.5,97,Y,MED,
387,70,150.0,SGD,2026-03-17,,,,,NONE,,,N,,
389,163,253.16,AUD,2026-03-19,10206,253.16,AUD,2026-03-19,EXACT,0.0,0,N,HIGH,
390,328,1393.26,AUD,2026-02-26,,,,,NONE,,,N,,
391,361,598.0,AUD,2026-03-17,,,,,NONE,,,N,,
395,87,18307.8,USD,2026-01-03,10420,25524.54,AUD,2026-04-16,AMOUNT_GAP,-1560.366,103,Y,MED,
396,694,4246.07,SGD,2026-02-26,9436,4246.07,SGD,2026-04-20,EXACT,0.0,53,N,HIGH,
398,70,180.0,SGD,2026-03-17,,,,,NONE,,,N,,
402,130,923.52,USD,2026-02-28,10568,1284.81,AUD,2026-05-06,AMOUNT_GAP,-81.1878,67,Y,MED,
403,649,10000.0,USD,2026-02-28,11120,10013.54,USD,2026-03-23,NEAR_1PCT,18.1436,23,N,MED,
407,187,7953.69,AUD,2026-01-29,10126,7953.69,AUD,2026-03-06,EXACT,0.0,36,N,HIGH,
409,649,10000.0,USD,2026-01-31,,,,,NONE,,,N,,
412,144,3270.0,SGD,2026-02-27,9408,3270.0,SGD,2026-04-15,EXACT,0.0,47,N,MED,
427,710,3149.01,AUD,2026-02-24,,,,,NONE,,,N,,
430,80,720.0,USD,2026-03-01,,,,,NONE,,,N,,
440,711,170.44,AUD,2025-12-18,,,,,NONE,,,N,,
444,649,10000.0,USD,2026-02-10,11095,10008.54,USD,2026-02-20,NEAR_1PCT,11.4436,10,N,MED,
449,694,4036.55,SGD,2026-01-21,9261,4036.55,SGD,2026-02-06,EXACT,0.0,16,N,HIGH,
450,694,5850.83,SGD,2026-01-21,9262,5850.83,SGD,2026-02-06,EXACT,0.0,16,N,HIGH,
451,664,4360.0,SGD,2026-02-05,9344,3270.0,SGD,2026-03-09,AMOUNT_GAP,-1090.0,32,Y,MED,
461,712,1836.26,SGD,2026-01-22,,,,,NONE,,,N,,
462,130,985.92,USD,2025-12-31,10567,1371.42,AUD,2026-05-06,AMOUNT_GAP,-86.8548,126,Y,MED,
466,86,3650.0,AUD,2025-06-16,,,,,NONE,,,N,,
467,80,120.0,SGD,2026-02-01,,,,,NONE,,,N,,
473,694,3000.0,SGD,2026-01-12,9374,3000.0,SGD,2026-03-20,EXACT,0.0,67,N,MED,
474,80,600.0,SGD,2026-02-01,,,,,NONE,,,N,,
476,187,7773.87,AUD,2026-01-23,9923,7773.87,AUD,2026-02-04,EXACT,0.0,12,N,HIGH,
477,144,3270.0,SGD,2026-01-15,9235,3270.0,SGD,2026-01-15,EXACT,0.0,0,N,MED,
478,86,1018.63,AUD,2026-01-21,,,,,NONE,,,N,,
483,253,1221.0,SGD,2025-02-01,9240,1221.0,SGD,2026-01-16,EXACT,0.0,349,N,HIGH,
484,622,1760.0,AUD,2025-08-31,9799,1760.0,AUD,2026-01-22,EXACT,0.0,144,N,HIGH,
485,550,3261.99,SGD,2026-01-14,9234,3261.99,SGD,2026-01-15,EXACT,0.0,1,N,HIGH,
486,28,13546.18,AUD,2026-01-13,,,,,NONE,,,N,,
491,70,800.0,SGD,2026-01-09,,,,,NONE,,,N,,
501,672,20.6,SGD,2025-12-30,9212,30.0,SGD,2026-01-02,AMOUNT_GAP,9.4,3,Y,MED,
506,714,1452.0,AUD,2025-12-24,,,,,NONE,,,N,,
507,80,720.0,SGD,2026-01-01,,,,,NONE,,,N,,
508,715,830.0,AUD,2025-12-27,,,,,NONE,,,N,,
514,649,10000.0,USD,2025-11-30,9787,14896.54,AUD,2026-01-20,NEAR_1PCT,6.886,51,N,MED,
516,117,214.52,AUD,2025-11-17,9752,214.52,AUD,2026-01-15,EXACT,0.0,59,N,HIGH,
526,671,1501.5,AUD,2025-12-12,97814,385.0,AUD,2025-12-15,AMOUNT_GAP,-1004.85,3,N,LOW,
532,511,3270.0,SGD,2025-12-07,9230,3270.0,SGD,2026-01-12,EXACT,0.0,36,N,HIGH,
533,144,3270.0,SGD,2025-11-28,9227,3270.0,SGD,2026-01-12,EXACT,0.0,45,N,MED,
534,328,825.0,AUD,2025-11-14,104952,78.13,AUD,2025-11-21,AMOUNT_GAP,-672.183,7,N,LOW,
539,80,1320.0,SGD,2025-12-01,,,,,NONE,,,N,,
540,70,3700.0,SGD,2025-11-25,,,,,NONE,,,N,,
541,717,4183.0,AUD,2025-11-28,,,,,NONE,,,N,,
543,132,514.05,AUD,2025-11-18,9683,514.05,AUD,2026-01-12,EXACT,0.0,55,N,HIGH,
545,328,1933.53,AUD,2025-11-14,,,,,NONE,,,N,,
546,655,3173.2,SGD,2025-11-25,10546,1478.5,AUD,2026-04-30,AMOUNT_GAP,-1842.55,156,N,LOW,
550,87,300.34,USD,2025-11-03,95270,401.12,SGD,2025-11-20,NEAR_1PCT,-1.3356,17,N,MED,
554,116,4598.24,USD,2025-10-31,95267,5463.54,SGD,2025-11-20,GST,-698.1016,20,N,LOW,
555,31,3370.6,USD,2025-09-29,,,,,NONE,,,N,,
559,355,7823.5,SGD,2025-09-01,95312,7823.5,SGD,2025-12-15,EXACT,0.0,105,N,HIGH,
563,719,1292.51,AUD,2025-11-14,,,,,NONE,,,N,,
564,655,3000.0,USD,2025-11-13,97718,6000.0,AUD,2025-11-24,AMOUNT_GAP,1380.0,11,N,LOW,
565,720,840.0,SGD,2025-11-12,,,,,NONE,,,N,,
566,70,500.0,SGD,2025-11-10,,,,,NONE,,,N,,
