vendor,invoices,total,currencies,classification,best_existing_match,match_score,my remarks
(blank),86,397157,AUD/INR/MYR/SGD/USD,NEW,,0,ok
Global Transport & Automotive Insurance Solutions,43,98300,AUD,NEW,Automotive Glass Works Pte Ltd,0.2,Doesn’t GT insurance already exist
Fixed lah,37,65300,SGD,LIKELY_EXISTS,Tow lah,0.5,Create fixedlah
URDrive,17,77050,AUD,NEW,,0,Doesn’t U R Drive exist?
INCOME INSURANCE LIMITED,13,67872.17,SGD,NEW,GT insurance,0.33,This is NTUC
Drive Lah,12,54318.35,AUD/INR/SGD,LIKELY_EXISTS,Tow lah,0.5,Drive lah is not a vendor. We are Drive lah. Need to look at these
National Collection & Investigation Services Pty Ltd,11,16433,AUD,NEW,CHENG CHUAN MOTOR SERVICES,0.25,Create new 
VentureHaven Pte Ltd,8,13564.1,SGD,NEW,,0,Venture Haven already exists
Bytchenkov Pty Ltd,5,8975,AUD,NEW,,0,Already exists
Drive Mate,4,9910.25,AUD,NEW,Drive Accident Solutions,0.33,
Sydney Transport Provider Pty Ltd,4,2079.66,AUD,NEW,IWG AUSTRALIA SYDNEY,0.33,
ABWIN SERVICE PTE LTD,3,9810,SGD,LIKELY_EXISTS,Abwin Leasing,0.5,
Harvey's Towing (Qld) Pty Ltd,3,4335.55,AUD,LIKELY_EXISTS,Bastian's Towing,0.5,
CDG,3,1596,SGD,NEW,,0,
Six6Films,3,1386,AUD,NEW,,0,
The Royal Automobile Club of Queensland Limited,2,43002,AUD,NEW,Faculty of Management Studies,0.14,
Cavalo Service Department,2,6790.6,AUD,NEW,Anytime Towing Service Pty Ltd,0.33,
Abdul Saaqib,2,6000,AUD,NEW,,0,
Anas Ashfaq,2,2451,AUD,NEW,,0,
Fenoru Pty Ltd,2,1210,AUD,NEW,,0,
Craig Letters,2,539.53,AUD,NEW,,0,
General Insurance Association of Singapore,2,235.44,SGD,NEW,AUTO & GENERAL SERVICES PTY LTD,0.25,
AFCA,2,175.52,AUD,NEW,,0,
PSC Connect Western Pty Ltd,1,82274.34,AUD,NEW,Connect Repair Logistics,0.33,
Hikaranandas Associates,1,40000,INR,NEW,AUD ridhi karan and associates,0.2,
Confidant Partners Pty Ltd,1,27500,AUD,NEW,,0,
Prestige Panel Beaters Pty Ltd,1,5204.35,AUD,NEW,MELBOURNE PRESTIGE CENTRE,0.33,
North East Crash Repairs PTY LTD,1,5000,AUD,NEW,SEMITS SMASH REPAIRS PTY LTD,0.25,
Sheen South Melbourne,1,5000,AUD,NEW,South East Smash,0.33,
AUTOBODIES GOLD COAST P/L,1,4183,AUD,NEW,,0,
HelloTravelPteLtd,1,4000,SGD,NEW,,0,
Biz Tow Pty Ltd ATF Biz Tow Trust,1,3521.05,AUD,NEW,Auto Tow Nominees Pty Ltd,0.25,
Ban Choon Motor Works,1,3270,SGD,NEW,CHENG CHUAN MOTOR SERVICES,0.25,
Cheng Auto Bodyworks,1,3270,SGD,LIKELY_EXISTS,Cheng Auto Body works,0.5,
Jonkers Smash Repairs P/L,1,3149.01,AUD,NEW,J&D Quality Smash Repairs,0.4,
Auto & General Insurance Services PTY LTD,1,3097.18,AUD,LIKELY_EXISTS,AUTO & GENERAL SERVICES PTY LTD,0.75,
Zhibing He,1,2970,AUD,NEW,,0,
Jim's Car detailing Notting Hill,1,2841,AUD,NEW,Car mobile detailing,0.33,
Inland Revenue Authority of Singapore,1,2783.88,SGD,NEW,Faculty of Management Studies,0.25,
Ur Drive,1,2750,AUD,NEW,Drive Accident Solutions,0.33,
Christopher J Malan,1,2750,AUD,NEW,Gabriel J. Ebreo Limjoco,0.25,
Clayton's Towing Service Pty Ltd,1,2625.96,AUD,LIKELY_EXISTS,Clayton Towing,0.5,
King and the Pawn Pte. Ltd.,1,2457.95,SGD,NEW,THE SPORTING GLOBE KING STREET,0.4,
KleanAir Decontamination Services,1,2200,AUD,NEW,Kwee Repair Services,0.33,
Willy Tay's Chambers,1,1836.26,SGD,NEW,Bastian's Towing,0.25,
NSD Corp Pte Ltd,1,1800,SGD,NEW,,0,
ICONIC Auto,1,1650,AUD,LIKELY_EXISTS,Auto Glass,0.5,
Radaro Australia Pty Ltd,1,1529,AUD,NEW,,0,
A1 Smash Repairs,1,1452,AUD,LIKELY_EXISTS,SEMITS SMASH REPAIRS PTY LTD,0.67,
Gold Coast Tow Trucks Light & Heavy P/L,1,1316.2,AUD,NEW,Auto Tow Nominees Pty Ltd,0.12,
 Yarra Trams,1,1292.51,AUD,NEW,Yarra Journey Makers Pty Ltd,0.33,
Muhammad Hunzla Badar,1,1225.14,AUD,NEW,,0,
Jay Balan,1,1221,SGD,NEW,,0,
Mack Tow Pty Ltd,1,1153.1,AUD,LIKELY_EXISTS,Tow lah,0.5,
SHANMUGAN S/O KASEE,1,1000,SGD,NEW,Bastian's Towing,0.25,
SIVAPRAKASAM GOKULA KRISHNAN,1,840,SGD,NEW,,0,
Actual host Mike Hill,1,830,AUD,NEW,,0,
Alphine,1,648,SGD,NEW,,0,
Mobile Tyre Legends,1,600,AUD,NEW,Car mobile detailing,0.33,
Simmos road service and Towing T/as Tweed Byron,1,521.4,AUD,NEW,Tweed Byron Towing,0.33,
Springfield Lakes Towing and Transport Trust,1,440,AUD,NEW,Monash Storage and Towing,0.33,
Ken Morley Smash Repairs,1,338.8,AUD,LIKELY_EXISTS,SEMITS SMASH REPAIRS PTY LTD,0.5,
Focussed Loss Assessing,1,330,AUD,LIKELY_EXISTS,Focussed Assessing Pty Ltd,0.67,
Oakleigh Car Service Centre,1,297,AUD,NEW,Elite Car Ventures,0.25,
Spark New Zealand Trading Ltd,1,212.02,NZD,NEW,Jui teck trading company,0.25,
Bridgestone Select Tyre & Auto Bondi,1,170.44,AUD,NEW,Auto Tow Nominees Pty Ltd,0.2,
Home and Away Towing Services,1,165,AUD,NEW,Collision Towing & Recovery Services,0.4,
AuraTowing,1,154,AUD,NEW,,0,
NA/ For Drivelah Ops,1,150,SGD,NEW,,0,
VIGNESH RMS,1,101,SGD,NEW,,0,
