drive_id,name,outcome,invoice_id,is_invoice,document_type,entity_id,entity_source,counterparty_id,vendor_flag,coa,duplicate_of,timestamp
Tax Invoice #51605 (1) (1).pdf,Tax Invoice #51605 (1) (1).pdf,covered,,,,,,,,,inv#777,2026-07-30T23:38:14.588801
INV0000296628 Nov Inv.pdf,INV0000296628 Nov Inv.pdf,stray_loaded,1591,True,tax_invoice,3,bill_to,509,MATCHED,5060,,2026-07-30T23:38:14.642195
01267539_20250819_102135.pdf,01267539_20250819_102135.pdf,covered,,,,,,,,,inv#607,2026-07-30T23:38:28.285570
62680002848.png,62680002848.png,not_invoice,,False,report,,,,,,,2026-07-30T23:38:28.312785
Invoice_INV_MI_24559.pdf,Invoice_INV_MI_24559.pdf,covered,,,,,,,,,inv#998,2026-07-30T23:38:31.312036
Screenshot 2025-08-04 at 10.52.02 AM.png,Screenshot 2025-08-04 at 10.52.02 AM.png,covered,,,,,,,,,inv#652,2026-07-30T23:38:31.340688
"TAX INVOICE DM010 - TURNER, Ashley - 1IKS866 - TA05556406 (6.02.25).pdf","TAX INVOICE DM010 - TURNER, Ashley - 1IKS866 - TA05556406 (6.02.25).pdf",covered,,,,,,,,,inv#1119,2026-07-30T23:38:31.369903
SGIN25-776149.pdf,SGIN25-776149.pdf,covered,,,,,,,,,inv#496,2026-07-30T23:38:31.399998
REPAIR INVOICE.pdf,REPAIR INVOICE.pdf,covered,,,,,,,,,inv#845,2026-07-30T23:38:31.430069
FLM Invoice (1).pdf,FLM Invoice (1).pdf,covered,,,,,,,,,inv#874,2026-07-30T23:38:31.458879
Excess Request (4) (1).pdf,Excess Request (4) (1).pdf,covered,,,,,,,,,inv#1253,2026-07-30T23:38:31.488436
Excess Request (5) (1).pdf,Excess Request (5) (1).pdf,covered,,,,,,,,,inv#1177,2026-07-30T23:38:31.516505
ACEInvoice 24.1471.pdf,ACEInvoice 24.1471.pdf,covered,,,,,,,,,inv#1210,2026-07-30T23:38:31.546099
ACTCM INV 02025016.pdf,ACTCM INV 02025016.pdf,covered,,,,,,,,,inv#1145,2026-07-30T23:38:31.572929
Invoice INV-3190541.pdf,Invoice INV-3190541.pdf,covered,,,,,,,,,inv#1248,2026-07-30T23:38:31.601914
20240805 Invoice - Data Management.pdf,20240805 Invoice - Data Management.pdf,covered,,,,,,,,,inv#1400,2026-07-30T23:38:31.630366
Drivemate FTI00084713.pdf,Drivemate FTI00084713.pdf,covered,,,,,,,,,inv#1458,2026-07-30T23:38:31.659380
Dunning Letter-Drive Lah Pte. Ltd.-SGD-2024-05-27.pdf,Dunning Letter-Drive Lah Pte. Ltd.-SGD-2024-05-27.pdf,covered,,,,,,,,,inv#1481,2026-07-30T23:38:31.688632
Motor Vehicle Fleet Invoice 227014 - DRIVELA (1).pdf,Motor Vehicle Fleet Invoice 227014 - DRIVELA (1).pdf,covered,,,,,,,,,inv#576,2026-07-30T23:38:31.716720
"TAX INVOICE DM020 - HANNAH, Megan DM 53406365 (27.11.25).pdf","TAX INVOICE DM020 - HANNAH, Megan DM 53406365 (27.11.25).pdf",stray_loaded,1592,True,tax_invoice,3,bill_to,111,MATCHED,5001,,2026-07-30T23:38:31.744229
Invoice - RS - Drive Lah Ventures Holding Pte Ltd - 35.pdf,Invoice - RS - Drive Lah Ventures Holding Pte Ltd - 35.pdf,covered,,,,,,,,,inv#1377,2026-07-30T23:38:36.991137
Towing Invoice 2AR8WM.pdf,Towing Invoice 2AR8WM.pdf,covered,,,,,,,,,inv#1339,2026-07-30T23:38:37.018192
