finance_db_id,payee,amount,currency,retool_status,platform,outcome,invoice_id,duplicate_of,dup_reason,is_invoice,document_type,entity_id,entity_source,currency_entity_flag,counterparty_id,vendor_flag,coa,run_id,timestamp
32620,ATO,6182.89,AUD,Approval Required,Drive mate,not_invoice,234,,,False,report,3,bill_to,False,,QUARANTINE,,814,2026-07-30T07:58:32.924261
32619,CHENG CHUAN MOTOR SERVICES,350,SGD,Approval Required,Drive lah,uploaded,235,,,True,tax_invoice,2,bill_to,False,55,MATCHED,5032,814,2026-07-30T07:58:50.600938
32614,Sydney Transport Pty Ltd,330,AUD,Approval Required,Drive mate,no_attachment,,,,,,,,,,,,814,2026-07-30T07:58:54.733239
32607,Home and Away Towing Services,165,AUD,Auto-approved,Drive Mate,uploaded,236,,,True,tax_invoice,3,bill_to,False,,QUARANTINE,,814,2026-07-30T07:58:54.733270
32579,Tokio Marine,3270,SGD,Approval Required,Drive lah,not_invoice,237,,,False,letter,2,bill_to,False,144,MATCHED,,814,2026-07-30T07:59:16.200074
32572,HDB Parking,360,SGD,Closed,Drive lah,not_invoice,238,,,False,spreadsheet_screenshot,2,platform,False,80,MATCHED,5060,814,2026-07-30T07:59:34.791819
32556,Cake for Employees,50,SGD,Closed,Central,no_attachment,,,,,,,,,,,,814,2026-07-30T07:59:51.944192
32508,Income,1797.12,SGD,Approved,Drive lah,not_invoice,239,,,False,letter,2,platform,False,,QUARANTINE,,814,2026-07-30T07:59:51.944222
32472,CHENG CHUAN MOTOR SERVICES,250,SGD,Approved,Drive lah,uploaded,240,,,True,tax_invoice,2,bill_to,False,55,MATCHED,5032,814,2026-07-30T08:00:09.318587
32465,Norman Chan,495,AUD,Approval Required,Drive mate,not_invoice,241,,,False,letter,3,bill_to,False,,QUARANTINE,,814,2026-07-30T08:00:13.469471
32427,Select PTE,1000,SGD,Approval Required,Drive lah,uploaded,242,,,True,invoice,2,bill_to,False,128,MATCHED,6401,814,2026-07-30T08:00:31.195493
32386,Fixed lah,2790,SGD,Approved,Drive lah,uploaded,243,,,True,invoice,2,bill_to,False,,QUARANTINE,,814,2026-07-30T08:00:38.999161
32380,AIRCALL,2198.7,USD,Closed,Central,uploaded,244,,,True,invoice,2,bill_to,False,31,MATCHED,6701,814,2026-07-30T08:00:56.842967
32379,AIRCALL,2268.2,USD,Closed,Central,uploaded,245,,,True,invoice,1,default,False,31,MATCHED,6701,814,2026-07-30T08:01:14.756802
32339,Autorola Group,617.45,AUD,Approval Required,Drive mate,uploaded,246,,,True,tax_invoice,3,bill_to,False,41,MATCHED,5032,814,2026-07-30T08:01:33.466071
32334,Tokio Marine,3270,SGD,Approval Required,Drive lah,not_invoice,247,,,False,letter,2,bill_to,False,144,MATCHED,,814,2026-07-30T08:01:39.323572
32279,Cheng Chuan Motor Services,250,SGD,Approved,Drive lah,uploaded,248,,,True,tax_invoice,2,bill_to,False,55,MATCHED,5032,814,2026-07-30T08:01:57.851500
32277,Ban Choon Motor Works,3270,SGD,Approval Required,Drive lah,uploaded,249,,,True,tax_invoice,2,bill_to,False,,QUARANTINE,,814,2026-07-30T08:02:02.010019
32276,Tokio Marine Insurance Singapore Ltd.,3270,SGD,Approval Required,Drive lah,not_invoice,250,,,False,letter,2,bill_to,False,144,MATCHED,,814,2026-07-30T08:02:19.907240
32273,Altimobility,10000,USD,Closed,Drive mate,not_invoice,251,,,False,report,3,platform,False,649,MATCHED,5030,814,2026-07-30T08:02:39.844695
32263,Focussed	Assessing	Pty	Ltd	(ABN	92	143	234	066),220,AUD,Approved,Drive mate,uploaded,252,,,True,tax_invoice,3,bill_to,False,72,MATCHED,5034,814,2026-07-30T08:02:55.676001
32214,Fixed Lah,2890,SGD,Closed,Drive lah,uploaded,253,,,True,invoice,2,platform,False,,QUARANTINE,,814,2026-07-30T08:03:02.228577
32198,Cheng Chuan Motor Service,250,SGD,Approved,Drive lah,uploaded,254,,,True,tax_invoice,2,bill_to,False,55,MATCHED,5032,814,2026-07-30T08:03:19.920239
32196,Cheng Chuan Motor Services,250,SGD,Closed,Drive lah,uploaded,255,,,True,tax_invoice,2,bill_to,False,55,MATCHED,5032,814,2026-07-30T08:03:24.380450
32167,Cheng Chuan Motor Service,1500,SGD,Approved,Drive lah,uploaded,256,,,True,tax_invoice,2,bill_to,False,55,MATCHED,5032,814,2026-07-30T08:03:28.450434
32089,"All Sydney Tow Truck ""Sydney Transport Pty Ltd""",330,AUD,Approval Required,Drive mate,uploaded,257,,,True,tax_invoice,3,bill_to,False,,QUARANTINE,,814,2026-07-30T08:03:32.752618
32063,Gold Coast Tow Trucks Light & Heavy,1749.5,AUD,Approved,Drive lah,uploaded,258,,,True,tax_invoice,3,bill_to,False,,QUARANTINE,,814,2026-07-30T08:03:51.522028
