View,Mkt,Type,Classification,Wired to / why,My Remarks
view_AU_a_cost_discounts,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_cost_fuel_payout,AU,a,USE — economic-events,host_fuel_payout→Cr2120/Dr5023,
view_AU_a_cost_fuel_refund_to_guest,AU,a,USE — economic-events,cost_fuel_refund_to_guest→Cr1019/Dr5037,
view_AU_a_cost_late_return,AU,a,USE — economic-events,host_late_return_payout→Cr2120/Dr5044,
view_AU_a_fuel_charged_to_host,AU,a,USE — economic-events,host_fuel_charged_to_host→Cr4032/Dr2120,
view_AU_a_host_discounts,AU,a,USE — economic-events,host_discounts→Cr5050/Dr2120,
view_AU_a_host_flexplus_payout,AU,a,USE — economic-events,host_flexplus_payout→Cr2120/Dr5002,
view_AU_a_host_fuel_charge_collected,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_host_incidentals_cleanliness,AU,a,USE — economic-events,host_cleanliness_payout→Cr2120/Dr5022,
view_AU_a_host_incidentals_damage,AU,a,USE — economic-events,host_damage_payout→Cr2120/Dr5021,
view_AU_a_host_incidentals_excess_mileage,AU,a,USE — economic-events,host_excess_mileage_payout→Cr2120/Dr5024,
view_AU_a_host_incidentals_fuel,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_host_incidentals_tolls,AU,a,USE — economic-events,host_tolls_payout→Cr2120/Dr5020,
view_AU_a_host_misc_charge_collected,AU,a,USE — economic-events,host_misc_charge_collected→Cr5042/Dr2120,
view_AU_a_host_misc_payout,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_host_payout_flexplus_p2p,AU,a,PARKED — Flex+ split (POL-61),"built-ahead 4003/5003, resume later",
view_AU_a_host_payout_flexplus_rms,AU,a,PARKED — Flex+ split (POL-61),"built-ahead 4003/5003, resume later",
view_AU_a_host_payout_regular_p2p,AU,a,USE — economic-events,host_trip_earnings_p2p→Cr2120/Dr5000,
view_AU_a_host_payout_regular_rms,AU,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_AU_a_host_referral_payout,AU,a,USE — economic-events,host_referral_payout→Cr2120/Dr5042,
view_AU_a_host_subscription_collected,AU,a,USE — economic-events,host_subscription_collected→Cr4010/Dr2120,
view_AU_a_host_trip_earnings_accrual,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_host_trip_earnings_rms,AU,a,USE — economic-events,host_trip_earnings_rms→Cr2120/Dr5001,
view_AU_a_incidentals_classified,AU,a,USE — feeder,feeds an active view,
view_AU_a_incidentals_cleaning_invoiced,AU,a,USE — economic-events,incidentals_cleaning→Cr4022/Dr1200,
view_AU_a_incidentals_damage_invoiced,AU,a,USE — economic-events,incidentals_damage→Cr4021/Dr1200,
view_AU_a_incidentals_direct_revenue,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_incidentals_direct_revenue_new,AU,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_AU_a_incidentals_excess_mileage_invoiced,AU,a,USE — economic-events,incidentals_excess_mileage→Cr4024/Dr1200,
view_AU_a_incidentals_fines_invoiced,AU,a,USE — economic-events,incidentals_fines→Cr4028/Dr1200,
view_AU_a_incidentals_flexplus_leak_invoiced,AU,a,USE — economic-events,incidentals_flexplus_leak→Cr4002/Dr1200,
view_AU_a_incidentals_fuel_charge_invoiced,AU,a,USE — economic-events,incidentals_fuel_charge→Cr4023/Dr1200,
view_AU_a_incidentals_insurance_leak_invoiced,AU,a,USE — economic-events,incidentals_insurance_leak→Cr4011/Dr1200,
view_AU_a_incidentals_invoiced,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_incidentals_late_return_invoiced,AU,a,USE — economic-events,incidentals_late_return→Cr4031/Dr1200,
view_AU_a_incidentals_other_invoiced,AU,a,USE — economic-events,incidentals_other→Cr4025/Dr1200,
view_AU_a_incidentals_paginated_hold,AU,a,USE — economic-events,incidentals_paginated_hold→Cr4025/Dr1200,
view_AU_a_incidentals_penalty_invoiced,AU,a,USE — economic-events,incidentals_penalty→Cr4027/Dr1200,
view_AU_a_incidentals_platform_fees_invoiced,AU,a,USE — economic-events,incidentals_platform_fees→Cr4026/Dr1200,
view_AU_a_incidentals_tolls_invoiced,AU,a,USE — economic-events,incidentals_tolls→Cr4020/Dr1200,
view_AU_a_incidentals_trip_to_base_invoiced,AU,a,USE — economic-events,incidentals_trip_to_base→Cr4000/Dr1200,
view_AU_a_misc_,AU,a,VERIFY — helper/intermediate,confirm not a live feeder before dropping,
view_AU_a_misc_corrections,AU,a,USE — economic-events,misc_corrections→Cr2120/Dr5000,
view_AU_a_misc_damage,AU,a,USE — economic-events,misc_damage→Cr2120/Dr5021,
view_AU_a_misc_downtime,AU,a,USE — economic-events,misc_downtime→Cr2120/Dr5043,
view_AU_a_misc_parking,AU,a,USE — economic-events,misc_parking→Cr2120/Dr5060,
view_AU_a_misc_payout_classified,AU,a,USE — feeder,feeds an active view,
view_AU_a_misc_residual,AU,a,USE — economic-events,misc_residual→Cr2120/Dr5042,
view_AU_a_misc_sticker,AU,a,USE — economic-events,misc_sticker→Cr2120/Dr5041,
view_AU_a_misc_superhost,AU,a,USE — economic-events,misc_superhost→Cr2120/Dr5040,
view_AU_a_misc_tolls,AU,a,USE — economic-events,misc_tolls→Cr2120/Dr5020,
view_AU_a_misc_towing,AU,a,USE — economic-events,misc_towing→Cr2120/Dr5033,
view_AU_a_subscription_device_invoiced,AU,a,USE — economic-events,subscription_device→Cr4010/Dr1200,
view_AU_a_subscription_flexplus_invoiced,AU,a,USE — economic-events,subscription_flexplus→Cr4002/Dr1200,
view_AU_a_subscription_insurance_invoiced,AU,a,USE — economic-events,subscription_insurance→Cr4011/Dr1200,
view_AU_a_subscription_invoiced,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_subscription_other_invoiced,AU,a,USE — economic-events,subscription_other→Cr4025/Dr1200,
view_AU_a_subscription_payment_plan,AU,a,PARKED — receivable pass (FLOW-21),excluded from revenue; future cash pass,
view_AU_a_trip_distance_invoiced,AU,a,USE — economic-events,trip_distance_invoiced→Cr4000/Dr1200,
view_AU_a_trip_revenue_earned,AU,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_a_trip_revenue_p2p,AU,a,USE — economic-events,trip_revenue_p2p→Cr4000/Dr2100,
view_AU_a_trip_revenue_rms,AU,a,USE — economic-events,trip_revenue_rms→Cr4001/Dr2100,
view_AU_c_connect_balance_recon,AU,c,KEEP — recon tooling,"reconciliation, not a JE feeder",
view_AU_c_customer_deposits_received,AU,c,USE — economic-events,deposits_received→Cr2110/Dr1019,
view_AU_c_deposit_refunds,AU,c,USE — economic-events,deposit_refunds→Cr1019/Dr2110,
view_AU_c_disputes,AU,c,USE — economic-events,disputes→Cr1019/Dr5051,
view_AU_c_fuel_refunds,AU,c,USE — feeder,feeds an active view,
view_AU_c_host_rms_internal_clearing,AU,c,USE — economic-events,connect_internal_transfer→Cr1019/Dr1020,
view_AU_c_host_transfers,AU,c,USE — economic-events,host_transfers_cash→Cr1019/Dr2120,
view_AU_c_incidentals_invoice_paid,AU,c,USE — economic-events,incidentals_paid→Cr1200/Dr1019,
view_AU_c_invoice_payment_refunds,AU,c,USE — economic-events,invoice_refunds→Cr1019/Dr5053,
view_AU_c_stripe_fees_paid,AU,c,USE — economic-events,stripe_fees→Cr1019/Dr5010,
view_AU_c_stripe_payouts,AU,c,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_c_subscription_invoice_paid,AU,c,USE — economic-events,subscriptions_paid→Cr1200/Dr1019,
view_AU_c_subscription_refunds,AU,c,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_AU_c_subscription_refunds_device,AU,c,USE — economic-events,subscription_refunds→Cr1019/Dr5054,
view_AU_c_subscription_refunds_insurance,AU,c,USE — economic-events,subscription_refunds_insurance→Cr1019/Dr5055,
view_AU_c_trip_cash_collected,AU,c,USE — economic-events,trip_charges→Cr2100/Dr1019,
view_AU_c_trip_distance_cash_collected,AU,c,USE — economic-events,trip_distance_cash_collected→Cr4000/Dr1019,
view_AU_c_trip_distance_invoice_paid,AU,c,USE — economic-events,trip_distance_invoice_paid→Cr1200/Dr1019,
view_AU_c_trip_refunds,AU,c,USE — economic-events,trip_refunds→Cr1019/Dr5052,
view_AU_c_verification_charge_received,AU,c,USE — economic-events,verification_charge_received→Cr2110/Dr1019,
view_AU_c_verification_refunds,AU,c,USE — economic-events,verification_refunds→Cr1019/Dr2110,
view_AU_intermediate_payout_transactions,AU,intermediate,VERIFY — helper/intermediate,confirm not a live feeder before dropping,
view_AU_transactions_flat,AU,transactions,VERIFY — helper/intermediate,confirm not a live feeder before dropping,
view_AU_v_stripe_with_transaction_details,AU,v,VERIFY — helper/intermediate,confirm not a live feeder before dropping,
view_SG_a_cost_discounts,SG,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_SG_a_cost_fuel_net,SG,a,USE — economic-events,host_fuel_net→Cr2120/Dr5023,
view_SG_a_cost_late_return,SG,a,USE — economic-events,host_late_return_payout→Cr2120/Dr5044,
view_SG_a_host_delivery_payout_new,SG,a,USE — economic-events,host_delivery_payout→Cr2120/Dr5042,
view_SG_a_host_discounts,SG,a,USE — economic-events,host_discounts→Cr5050/Dr2120,
view_SG_a_host_flexplus_payout_new,SG,a,USE — economic-events,host_flexplus_payout→Cr2120/Dr5002,
view_SG_a_host_fuel_charge_collected_new,SG,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_a_host_fuel_inclusion_new,SG,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_SG_a_host_incidentals_cleanliness_new,SG,a,USE — economic-events,host_cleanliness_payout→Cr2120/Dr5022,
view_SG_a_host_incidentals_damage_new,SG,a,USE — economic-events,host_damage_payout→Cr2120/Dr5021,
view_SG_a_host_incidentals_excess_mileage_new,SG,a,USE — economic-events,host_excess_mileage_payout→Cr2120/Dr5024,
view_SG_a_host_incidentals_fuel_new,SG,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_a_host_incidentals_tolls_new,SG,a,USE — economic-events,host_tolls_payout→Cr2120/Dr5020,
view_SG_a_host_long_term_discount_new,SG,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_SG_a_host_misc_charge_collected_new,SG,a,USE — economic-events,host_misc_charge_collected→Cr4025/Dr2120,
view_SG_a_host_misc_payout_new,SG,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_a_host_payout_flexplus_p2p,SG,a,PARKED — Flex+ split (POL-61),"built-ahead 4003/5003, resume later",
view_SG_a_host_payout_flexplus_rms,SG,a,PARKED — Flex+ split (POL-61),"built-ahead 4003/5003, resume later",
view_SG_a_host_payout_regular_p2p,SG,a,USE — economic-events,host_trip_earnings_p2p→Cr2120/Dr5000,
view_SG_a_host_payout_regular_rms,SG,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_SG_a_host_referral_payout_new,SG,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_SG_a_host_rms_payout_new,SG,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_SG_a_host_subscription_collected_new,SG,a,USE — economic-events,host_subscription_collected→Cr4010/Dr2120,
view_SG_a_host_superhost_payout,SG,a,USE — economic-events,host_superhost_payout→Cr2120/Dr5040,
view_SG_a_host_trip_earnings_accrual,SG,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_SG_a_host_trip_earnings_accrual_new,SG,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_a_host_trip_earnings_rms,SG,a,USE — economic-events,host_trip_earnings_rms→Cr2120/Dr5001,
view_SG_a_incidentals_classified,SG,a,USE — feeder,feeds an active view,
view_SG_a_incidentals_cleaning_invoiced,SG,a,USE — economic-events,incidentals_cleaning→Cr4022/Dr1200,
view_SG_a_incidentals_damage_invoiced,SG,a,USE — economic-events,incidentals_damage→Cr4021/Dr1200,
view_SG_a_incidentals_direct_revenue_new,SG,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_a_incidentals_excess_mileage_invoiced,SG,a,USE — economic-events,incidentals_excess_mileage→Cr4024/Dr1200,
view_SG_a_incidentals_fines_invoiced,SG,a,USE — economic-events,incidentals_fines→Cr4028/Dr1200,
view_SG_a_incidentals_flexplus_leak_invoiced,SG,a,USE — economic-events,incidentals_flexplus_leak→Cr4002/Dr1200,
view_SG_a_incidentals_fuel_charge_invoiced,SG,a,USE — economic-events,incidentals_fuel_charge→Cr4023/Dr1200,
view_SG_a_incidentals_insurance_leak_invoiced,SG,a,USE — economic-events,incidentals_insurance_leak→Cr4011/Dr1200,
view_SG_a_incidentals_invoiced,SG,a,RETIRE — dead/superseded,no active/code/feeder reference,
view_SG_a_incidentals_late_return_invoiced,SG,a,USE — economic-events,incidentals_late_return→Cr4031/Dr1200,
view_SG_a_incidentals_other_invoiced,SG,a,USE — economic-events,incidentals_other→Cr4025/Dr1200,
view_SG_a_incidentals_penalty_invoiced,SG,a,USE — economic-events,incidentals_penalty→Cr4027/Dr1200,
view_SG_a_incidentals_platform_fees_invoiced,SG,a,USE — economic-events,incidentals_platform_fees→Cr4026/Dr1200,
view_SG_a_incidentals_tolls_invoiced,SG,a,USE — economic-events,incidentals_tolls→Cr4020/Dr1200,
view_SG_a_incidentals_trip_to_base_invoiced,SG,a,USE — economic-events,incidentals_trip_to_base→Cr4000/Dr1200,
view_SG_a_misc_,SG,a,VERIFY — helper/intermediate,confirm not a live feeder before dropping,
view_SG_a_misc_damage,SG,a,USE — economic-events,misc_damage→Cr2120/Dr5021,
view_SG_a_misc_downtime,SG,a,USE — economic-events,misc_downtime→Cr2120/Dr5043,
view_SG_a_misc_parking,SG,a,USE — economic-events,misc_parking→Cr2120/Dr5060,
view_SG_a_misc_payout_classified,SG,a,USE — feeder,feeds an active view,
view_SG_a_misc_residual,SG,a,USE — economic-events,misc_residual→Cr2120/Dr5042,
view_SG_a_misc_sticker,SG,a,USE — economic-events,misc_sticker→Cr2120/Dr5041,
view_SG_a_misc_superhost,SG,a,USE — economic-events,misc_superhost→Cr2120/Dr5040,
view_SG_a_misc_tolls,SG,a,USE — economic-events,misc_tolls→Cr2120/Dr5020,
view_SG_a_misc_towing,SG,a,USE — economic-events,misc_towing→Cr2120/Dr5033,
view_SG_a_subscription_device_invoiced,SG,a,USE — economic-events,subscription_device→Cr4010/Dr1200,
