Old view,New (v_ canonical),Change,Used as,Optional further normalization
view_AU_a_cost_fuel_payout,v_AU_a_cost_fuel_payout,prefix,economic-events,
view_AU_a_cost_fuel_refund_to_guest,v_AU_a_cost_fuel_refund_to_guest,prefix,economic-events,
view_AU_a_cost_late_return,v_AU_a_cost_late_return,prefix,economic-events,
view_AU_a_fuel_charged_to_host,v_AU_a_fuel_charged_to_host,prefix,economic-events,
view_AU_a_host_discounts,v_AU_a_host_discounts,prefix,economic-events,
view_AU_a_host_flexplus_payout,v_AU_a_host_flexplus_payout,prefix,economic-events,
view_AU_a_host_incidentals_cleanliness,v_AU_a_host_incidentals_cleanliness,prefix,economic-events,host_incidentals_X -> host_X (parallel with revenue)
view_AU_a_host_incidentals_damage,v_AU_a_host_incidentals_damage,prefix,economic-events,host_incidentals_X -> host_X (parallel with revenue)
view_AU_a_host_incidentals_excess_mileage,v_AU_a_host_incidentals_excess_mileage,prefix,economic-events,host_incidentals_X -> host_X (parallel with revenue)
view_AU_a_host_incidentals_tolls,v_AU_a_host_incidentals_tolls,prefix,economic-events,host_incidentals_X -> host_X (parallel with revenue)
view_AU_a_host_misc_charge_collected,v_AU_a_host_misc_charge_collected,prefix,economic-events,drop redundant '_collected' (lane letter already says it)
view_AU_a_host_payout_regular_p2p,v_AU_a_host_payout_regular_p2p,prefix,economic-events,unify host-cost verb (host_<category>)
view_AU_a_host_referral_payout,v_AU_a_host_referral_payout,prefix,economic-events,
view_AU_a_host_subscription_collected,v_AU_a_host_subscription_collected,prefix,economic-events,drop redundant '_collected' (lane letter already says it)
view_AU_a_host_trip_earnings_rms,v_AU_a_host_trip_earnings_rms,prefix,economic-events,unify host-cost verb (host_<category>)
view_AU_a_incidentals_classified,v_AU_a_incidentals_classified,prefix,feeder,
view_AU_a_incidentals_cleaning_invoiced,v_AU_a_incidentals_cleaning_invoiced,prefix,economic-events,drop redundant '_invoiced' (lane letter already says it)
view_AU_a_incidentals_damage_invoiced,v_AU_a_incidentals_damage_invoiced,prefix,economic-events,drop redundant '_invoiced' (lane letter already says it)
view_AU_a_incidentals_excess_mileage_invoiced,v_AU_a_incidentals_excess_mileage_invoiced,prefix,economic-events,drop redundant '_invoiced' (lane letter already says it)
