txn_id,date,amount,current_cp_id,description,matched_candidates
5450,2026-02-03,-19.45,335,DEBIT PURCHASE USD 14.82 01/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\2 Singapore do,335:ANTHROPIC | 520:CPF
5302,2026-01-11,-36.94,301,DEBIT PURCHASE USD 27.82 08/01/26 xx-3180 OPENAI SAN RNB05ESNC\7 Singapore dolla,520:CPF | 301:OPENAI (ChatGPT Subscription)
5458,2026-02-04,-3650.46,445,DEBIT PURCHASE USD 2781.28 01/02/26 xx-5342 SHARETRIBE HEL RNB05ESNC\3 Singapore,445:Sharetribe | 520:CPF
5475,2026-02-06,-57.0,302,DEBIT PURCHASE 03/02/26 xx-8724 INTUIT *QBooks Online SAN RNB05ESNC\5 Singapore ,433:Quickbooks | 302:Intuit Quickbooks Sydney AU | 520:CPF
5362,2026-01-22,-14.65,335,DEBIT PURCHASE USD 11.00 19/01/26 xx-6839 ANTHROPIC SAN RNB05ESNC\14 Singapore d,335:ANTHROPIC | 520:CPF
5345,2026-01-18,-36.4,301,DEBIT PURCHASE USD 27.34 16/01/26 xx-3180 OPENAI SAN RNB05ESNC\12 Singapore doll,520:CPF | 301:OPENAI (ChatGPT Subscription)
5327,2026-01-16,-165.22,374,DEBIT PURCHASE USD 124.04 14/01/26 xx-9595 ATLASSIAN SAN RNB05ESNC\10 Singapore ,374:ATLASSIAN | 520:CPF
5442,2026-02-02,-14.33,335,DEBIT PURCHASE USD 10.92 30/01/26 xx-6839 ANTHROPIC SAN RNB05ESNC\1 Singapore do,335:ANTHROPIC | 520:CPF
6449,2026-05-01,-1366.0,326,=X0>_4) 73.00.60VO.461D.100S.3R.LS30303R852ZZ01.4.4153.7441 01 May Payrix*WOTSO ,326:IPPY*WOTSO HOLDINGS | 327:Payrix*WOTSO HOLDINGS
6468,2026-05-07,-59.99,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 04/05/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5455,2026-02-04,-2463.21,399,DEBIT PURCHASE 02/02/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
6587,2026-06-01,-1300.0,326,Payrix*WOTSO HOLDINGS WOTSO HOLDINGS--22,326:IPPY*WOTSO HOLDINGS | 327:Payrix*WOTSO HOLDINGS
