counterparty_id,vendor,coa,q2_cash,q2_input_gst,lines
649,Altimobility Corp,5030,42809.73,3891.79,3
660,PRECISION CLEARING HOUSE,1520,8857.76,805.25,1
326,IPPY*WOTSO HOLDINGS,6300,3966.00,360.55,3
407,Jetstar,6400,1636.98,148.82,7
551,IWG AUSTRALIA,6300,1563.96,142.18,11
439,SCOOT,6400,995.44,90.49,2
319,CreditLine NetBank BPAY,1500/6310,982.50,89.32,3
634,TPG Internet,6700,484.97,44.09,5
302,Intuit Quickbooks Sydney AU,6701,431.97,39.27,6
298,TRANSPORTFORNSW TAP SYDNEY AU,6400,343.56,31.23,31
491,ASIC,6500,329.00,29.91,1
431,Perplexity,6700,271.61,24.69,4
372,Apollo.io,6700,251.38,22.85,3
455,Synthesia,6700,251.12,22.83,4
694,Income Insurance Limited,5035,228.35,20.76,1
337,MICROSOFT,6701,226.48,20.59,4
329,UBER *TRIP,6400,207.78,18.89,3
443,Sentry,6701,207.24,18.84,3
336,APIFY,6701,206.65,18.79,3
321,POST GORDON,5065,204.99,18.64,9
373,Apple,6700,164.69,14.97,1
318,NEWS PTY LIMITED,6100,160.00,14.55,4
331,SQ *STOCK MARKET KITCHEN,6402,108.91,9.90,14
401,Heroku,6700,102.09,9.28,3
518,Comfort City Cab,6012,77.15,7.01,3
385,Didi Mobility,6400,57.33,5.21,2
378,Calendly,6701,56.16,5.11,3
402,Hetzner,6700,55.81,5.07,1
412,LinkedIn,6701,37.49,3.41,1
450,STARBUCKS,6401,37.33,3.39,2
309,EDREAMS,6400,35.97,3.27,3
308,VERCEL INC,6700,31.77,2.89,2
345,ZLR*Hills,6402,16.80,1.53,1
334,Trip.com,6400,2.50,0.23,1
