Drive mate fleet,,,,,,,,,
General Ledger,,,,,,,,,
"January, 2021-April, 2026",,,,,,,,,

,Distribution account,Transaction date,Transaction type,No.,Name,Description,Split,Amount,Balance
Due from Australia,,,,,,,,,
,Due from Australia,31/01/2024,Journal Entry,1,,,,"3,298.58","3,298.58"
,Due from Australia,29/02/2024,Journal Entry,2,,,,"14,869.52","18,168.10"
,Due from Australia,31/03/2024,Journal Entry,3,,Revenue for Mar 24,,"30,606.09","48,774.19"
,Due from Australia,30/04/2024,Journal Entry,0424-01 Revenue,,Revenue for Apr24,,"29,113.83","77,888.02"
,Due from Australia,31/05/2024,Journal Entry,6,,Revenue for May24,,"34,948.74","112,836.76"
,Due from Australia,30/06/2024,Journal Entry,7,,Revenue for June 24,,"4,099.00","116,935.76"
,Due from Australia,31/07/2024,Journal Entry,8,,Revenue for July24,,"5,757.05","122,692.81"
,Due from Australia,31/08/2024,Journal Entry,9,,Revenue fir Aug 24,,"5,037.93","127,730.74"
,Due from Australia,30/09/2024,Journal Entry,10,,Revenue for Sept 24,,"6,128.70","133,859.44"
,Due from Australia,31/10/2024,Journal Entry,11,,Revenue for Oct 24,,"5,893.78","139,753.22"
,Due from Australia,30/11/2024,Journal Entry,1124-01 Revenue,,Fleet revenue for Nov24,,"2,216.59","141,969.81"
,Due from Australia,31/12/2024,Journal Entry,1224-01 Revenue,,Fleet revenue for Dec'24,,"2,916.17","144,885.98"
,Due from Australia,31/01/2025,Journal Entry,1224-09 COS,,Fleet revenue for Dec'24,,"19,142.00","164,027.98"
,Due from Australia,28/02/2025,Journal Entry,1224-10 COS,,Fleet revenue for Dec'24,,"5,145.33","169,173.31"
,Due from Australia,31/03/2025,Journal Entry,1224-11 COS,,Fleet revenue for Dec'24,,"7,740.03","176,913.34"
,Due from Australia,30/04/2025,Journal Entry,1224-12 COS,,Fleet revenue for Dec'24,,"9,197.40","186,110.74"
,Due from Australia,31/05/2025,Journal Entry,1224-13 COS,,Fleet revenue for Dec'24,,"8,781.58","194,892.32"
,Due from Australia,30/06/2025,Journal Entry,1224-14 COS,,Fleet revenue for Dec'24,,"29,511.62","224,403.94"
Total for Due from Australia,,,,,,,,"A$224,403.94",
Due to Australia,,,,,,,,,
,Due to Australia,19/02/2024,Journal Entry,4,,CDC Fleet Pty Ltd,,"12,996.18","12,996.18"
,Due to Australia,16/03/2024,Journal Entry,5,,CDC Fleet Pty Ltd,,"26,636.46","39,632.64"
,Due to Australia,20/04/2024,Journal Entry,0424-01,,CDC Fleet Pty Ltd,,"35,179.09","74,811.73"
,Due to Australia,21/05/2024,Journal Entry,0524-01,,CDC Fleet Pty Ltd,,"37,426.56","112,238.29"
,Due to Australia,19/06/2024,Journal Entry,0624-01,,CDC Fleet Pty Ltd,,"42,034.00","154,272.29"
,Due to Australia,30/07/2024,Journal Entry,0724-02,,CDC Fleet Pty Ltd,,"42,192.00","196,464.29"
,Due to Australia,31/08/2024,Journal Entry,1224-03 COS,,CDC Fleet Pty Ltd,,"42,823.00","239,287.29"
,Due to Australia,05/09/2024,Journal Entry,0924-01,,CDC Fleet Pty Ltd,,"48,075.00","287,362.29"
,Due to Australia,10/10/2024,Journal Entry,1024-01,,CDC Fleet Pty Ltd,,"47,790.00","335,152.29"
,Due to Australia,30/11/2024,Journal Entry,1124-01 COS,,CDC cost Nov24,,"48,154.00","383,306.29"
