"id","rule_id","action_type","action_value","created_at"
466,179,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
467,179,5,Twilio,2025-06-22 12:29:52.091
468,180,0,Operating Expenses:Marketing - Advertising (new customers),2025-06-22 12:29:52.091
469,180,5,Google,2025-06-22 12:29:52.091
470,180,11,[],2025-06-22 12:29:52.091
471,181,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
472,181,5,Google,2025-06-22 12:29:52.091
473,182,0,Operating Expenses:Corporate - Office Rent,2025-06-22 12:29:52.091
474,182,5,Justco,2025-06-22 12:29:52.091
475,182,9,FAST PAYMENT BEXP JUSTCO (SINGAP SG-JCS-030914 SG-JCS-030914,2025-06-22 12:29:52.091
476,182,11,[],2025-06-22 12:29:52.091
477,183,0,Operating Expenses:Corporate - Bank Fees,2025-06-22 12:29:52.091
478,183,5,OCBC,2025-06-22 12:29:52.091
479,184,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
480,184,5,zendesk,2025-06-22 12:29:52.091
481,185,0,Operating Expenses:Marketing - Advertising (new customers),2025-06-22 12:29:52.091
482,185,5,Facebook,2025-06-22 12:29:52.091
483,186,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
484,186,5,Godaddy,2025-06-22 12:29:52.091
485,187,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
486,187,5,Sharetribe,2025-06-22 12:29:52.091
487,188,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
488,188,5,CIRCLE BUILDS,2025-06-22 12:29:52.091
489,189,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
490,189,5,AWS,2025-06-22 12:29:52.091
491,190,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
492,190,5,INTERCOM,2025-06-22 12:29:52.091
493,191,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
494,191,5,Github,2025-06-22 12:29:52.091
495,192,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
496,192,5,Surveymonkey,2025-06-22 12:29:52.091
497,193,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
498,193,5,OCTOPODS,2025-06-22 12:29:52.091
499,194,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
500,194,5,Xero,2025-06-22 12:29:52.091
501,195,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
502,195,5,Calendly,2025-06-22 12:29:52.091
503,196,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
504,196,5,Zepier,2025-06-22 12:29:52.091
505,197,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
506,197,5,Docusign,2025-06-22 12:29:52.091
507,198,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
508,198,5,docsend,2025-06-22 12:29:52.091
509,199,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
510,199,5,slack,2025-06-22 12:29:52.091
511,200,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
512,200,5,Canva,2025-06-22 12:29:52.091
513,201,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
514,201,5,Hotjar,2025-06-22 12:29:52.091
515,202,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
516,202,5,Birthdaybot,2025-06-22 12:29:52.091
517,203,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
518,203,5,type form,2025-06-22 12:29:52.091
519,204,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
520,204,5,lucidchart,2025-06-22 12:29:52.091
521,205,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
522,205,5,Papertrail,2025-06-22 12:29:52.091
523,206,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
524,206,5,Bitly,2025-06-22 12:29:52.091
525,207,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
526,207,5,Adobe,2025-06-22 12:29:52.091
527,208,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
528,208,5,Notion,2025-06-22 12:29:52.091
529,209,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
530,209,5,Notionforms,2025-06-22 12:29:52.091
531,210,0,Operating Expenses:Technology System Cost,2025-06-22 12:29:52.091
