entity,date,name,contra_account,amount
sg_pte_ltd,31/10/2022,Tokio Marine-1,Trade and other payables,-25806.6
sg_pte_ltd,31/10/2022,Tokio Marine-1,Prepaid Insurance,25806.6
sg_pte_ltd,30/11/2022,Onfido PTE LTD (deleted),Trade and other payables,-7902.2
sg_pte_ltd,30/11/2022,Onfido PTE LTD (deleted),Other Operating Expenses:Technology System Cost,7902.2
sg_pte_ltd,31/12/2022,Onfido PTE LTD (deleted),Trade and other payables,-7746.03
sg_pte_ltd,31/12/2022,Onfido PTE LTD (deleted),Other Operating Expenses:Technology System Cost,7746.03
sg_pte_ltd,31/12/2022,Tokio Marine-1,Trade and other payables,-26623.08
sg_pte_ltd,31/12/2022,Tokio Marine-1,Prepaid Insurance,26623.08
sg_pte_ltd,31/12/2022,,Accounts Payable,14881.7
sg_pte_ltd,31/12/2022,,Accounts Payable,10491.1
sg_pte_ltd,31/12/2022,,Accounts Payable,762.0
sg_pte_ltd,31/01/2023,Onfido PTE LTD (deleted),Trade and other payables,-7686.22
sg_pte_ltd,31/01/2023,Onfido PTE LTD (deleted),Other Operating Expenses:Technology System Cost,7686.22
sg_pte_ltd,31/01/2023,Tokio Marine-1,Trade and other payables,-28593.0
sg_pte_ltd,31/01/2023,Tokio Marine-1,Prepaid Insurance,28593.0
sg_pte_ltd,28/02/2023,Onfido PTE LTD (deleted),Trade and other payables,-7865.09
sg_pte_ltd,28/02/2023,Onfido PTE LTD (deleted),Other Operating Expenses:Technology System Cost,7865.09
sg_pte_ltd,31/03/2023,Onfido PTE LTD (deleted),Trade and other payables,-7755.3
sg_pte_ltd,31/03/2023,Onfido PTE LTD (deleted),Other Operating Expenses:Technology System Cost,7755.3
sg_pte_ltd,31/03/2023,Tokio Marine-1,Trade and other payables,-19852.02
sg_pte_ltd,31/03/2023,Tokio Marine-1,Prepaid Insurance,19852.02
sg_pte_ltd,31/03/2023,Tokio Marine-1,Trade and other payables,-16860.42
sg_pte_ltd,31/03/2023,Tokio Marine-1,Cost of Service:Insurance,16860.42
sg_pte_ltd,17/04/2023,Tokio Marine-1,Trade and other payables,-25806.6
sg_pte_ltd,17/04/2023,Tokio Marine-1,Trade and other payables,-26623.08
sg_pte_ltd,17/04/2023,Tokio Marine-1,Trade and other payables,-28593.0
sg_pte_ltd,17/04/2023,Tokio Marine-1,Trade and other payables,-19852.02
sg_pte_ltd,17/04/2023,Onfido PTE LTD (deleted),Trade and other payables,-7902.2
sg_pte_ltd,17/04/2023,Onfido PTE LTD (deleted),Trade and other payables,-7746.03
sg_pte_ltd,17/04/2023,Onfido PTE LTD (deleted),Trade and other payables,-7686.22
sg_pte_ltd,17/04/2023,Onfido PTE LTD (deleted),Trade and other payables,-7865.09
sg_pte_ltd,17/04/2023,Onfido PTE LTD (deleted),Trade and other payables,-7755.3
sg_pte_ltd,17/04/2023,Tokio Marine-1,Trade and other payables,-16860.42
sg_pte_ltd,28/04/2023,Arena Detailing (deleted),Trade and other payables,-1210.0
sg_pte_ltd,28/04/2023,Arena Detailing (deleted),Other Operating Expenses:Other Marketing Expense,1210.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Trade and other payables,-380.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,380.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Trade and other payables,-600.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,600.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Trade and other payables,-350.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,350.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Trade and other payables,-550.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,550.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Trade and other payables,-400.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,400.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Trade and other payables,-900.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,900.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Trade and other payables,-800.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,800.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Trade and other payables,-1280.0
sg_pte_ltd,01/05/2023,Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,1280.0
sg_pte_ltd,01/05/2023,Grenadier (deleted),Trade and other payables,-14124.0
sg_pte_ltd,01/05/2023,Grenadier (deleted),Other Operating Expenses:Marketing Asset Creation,14124.0
sg_pte_ltd,04/05/2023,Venture Haven-1,Trade and other payables,-1080.6
sg_pte_ltd,08/05/2023,Arena Detailing (deleted),Trade and other payables,-1210.0
sg_pte_ltd,10/05/2023,Cheng Chuan (deleted),Trade and other payables,-1280.0
sg_pte_ltd,10/05/2023,Cheng Chuan (deleted),Trade and other payables,-900.0
sg_pte_ltd,10/05/2023,Cheng Chuan (deleted),Trade and other payables,-800.0
sg_pte_ltd,10/05/2023,Cheng Chuan (deleted),Trade and other payables,-600.0
sg_pte_ltd,10/05/2023,Cheng Chuan (deleted),Trade and other payables,-550.0
sg_pte_ltd,10/05/2023,Cheng Chuan (deleted),Trade and other payables,-400.0
sg_pte_ltd,10/05/2023,Cheng Chuan (deleted),Trade and other payables,-380.0
sg_pte_ltd,10/05/2023,Cheng Chuan (deleted),Trade and other payables,-350.0
sg_pte_ltd,12/05/2023,Grenadier (deleted),Trade and other payables,-14124.0
sg_pte_ltd,16/05/2023,Venture Haven-1,Trade and other payables,-1080.6
sg_pte_ltd,16/05/2023,Venture Haven-1,Other Operating Expenses:Corporate - Audit and Tax Fees,1080.6
sg_pte_ltd,11/11/2023,KORE Wireless Inc.,Trade and other payables - USD,-54.44
sg_pte_ltd,11/11/2023,KORE Wireless Inc.,Other Operating Expenses:Technology System Cost,54.44
sg_pte_ltd,28/11/2023,KORE Wireless Inc.,Trade and other payables - USD,-292.65
sg_pte_ltd,28/11/2023,KORE Wireless Inc.,Other Operating Expenses:Technology System Cost,292.65
sg_pte_ltd,30/11/2023,KORE Wireless Inc.,Trade and other payables - USD,-294.27
sg_pte_ltd,30/11/2023,KORE Wireless Inc.,Other Operating Expenses:Technology System Cost,294.27
sg_pte_ltd,01/12/2023,Komoco,Trade and other payables,-1620.0
sg_pte_ltd,01/12/2023,Komoco,Due from Fleet,1620.0
sg_pte_ltd,01/12/2023,Komoco,Trade and other payables,-1728.0
sg_pte_ltd,01/12/2023,Komoco,Due from Fleet,1728.0
sg_pte_ltd,01/12/2023,Komoco,Trade and other payables,-1620.0
sg_pte_ltd,01/12/2023,Komoco,Due from Fleet,1620.0
sg_pte_ltd,01/12/2023,MoEngage,Trade and other payables - USD,-2800.75
sg_pte_ltd,01/12/2023,MoEngage,Other Operating Expenses:Technology System Cost,2534.01
sg_pte_ltd,01/12/2023,MoEngage,Other Operating Expenses:Technology System Cost,266.74
sg_pte_ltd,04/12/2023,Roobykon,Trade and other payables - USD,-533630.11
sg_pte_ltd,04/12/2023,Roobykon,Other Operating Expenses:Technology System Cost,219878.72
sg_pte_ltd,04/12/2023,Roobykon,Other Operating Expenses:Technology System Cost,313751.39
sg_pte_ltd,09/12/2023,JustCo,Trade and other payables,-4212.0
sg_pte_ltd,09/12/2023,JustCo,Other Operating Expenses:Corporate - Office Rent,4212.0
sg_pte_ltd,09/12/2023,JustCo,Trade and other payables,-3.24
sg_pte_ltd,09/12/2023,JustCo,Other Operating Expenses:Corporate - Office Rent,3.24
sg_pte_ltd,29/12/2023,Aircall,Trade and other payables - USD,-2.48
sg_pte_ltd,29/12/2023,Aircall,Other Operating Expenses:Technology System Cost,2.48
sg_pte_ltd,31/12/2023,MoEngage,Trade and other payables - USD,-2884.43
sg_pte_ltd,31/12/2023,MoEngage,Other Operating Expenses:Technology System Cost,2620.53
sg_pte_ltd,31/12/2023,MoEngage,Other Operating Expenses:Technology System Cost,263.9
sg_pte_ltd,31/12/2023,Onfido,Trade and other payables - USD,-5306.04
sg_pte_ltd,31/12/2023,Onfido,Other Operating Expenses:Technology System Cost,5306.04
sg_pte_ltd,01/01/2024,Tow lah,Trade and other payables,-2000.0
