revenue_contra,count
Gross Revenue -Other Income,3337
Gross Revenue-Car Rental Usage,1466
Cost of Service:Host Earnings:Stripe_transfers_usage,773
Gross Revenue-Car Rental Usage:Stripe Platform earnings (deleted),706
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_usage (deleted),613
Gross Revenue-Car Rental Usage:Stripe Refunds,269
4301 CMB - Incidental Revenue,208
Gross-Other Income,151
Cost of Service:Host Earnings,147
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_deposits (deleted),107
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_disputes,90
Cost of Service:Host Earnings:Flex+ payouts,58
4300-STRIPE-INC Stripe - Incidentals Revenue,57
Cost of Service:Host Earnings:Car Rental usage,49
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_subscriptions (deleted),27
4100-STRIPE-TRIP Stripe - Trip Revenue,11
Sales of Product Revenue,6
4101 CMB - Trip Revenue,4
Cost of Service:Payment Gateway:Stripe fees,2
Gross Revenue-Car Rental Usage:Customer Refunds (deleted),1
Cost of Service:Payment Gateway:Stripe Fees (deleted),1
