id,name,reason
199,Drive Lah Pte Ltd - Twilio,DEACTIVATE-redundant
114,Drive Lah Pte Ltd - GOOGLE ADS,DEACTIVATE-superseded-by-arbitrated-default
134,Drive Lah Pte Ltd - Justco,DEACTIVATE-redundant
93,Drive Lah Pte Ltd - Bank charges,DEACTIVATE-redundant
211,Drive Lah Pte Ltd - Zendesk,DEACTIVATE-redundant
109,Drive Lah Pte Ltd - Facebook as Operating Expenses-Marketing - Advertising (new customers),DEACTIVATE-redundant
113,Drive Lah Pte Ltd - GoDaddy.com as Operating Expenses-Technology System Cost,DEACTIVATE-redundant
21,Drive Lah Pte Ltd - Wise HR Salary Payments - Paramjeet,DEACTIVATE-redundant
50,Drive Lah Pte Ltd - Wise HR Salary Payments - Paramjeet Paramjeet,DEACTIVATE-redundant
51,Drive Lah Pte Ltd - Wise HR Salary Payments - Yash Mimani,DEACTIVATE-redundant
52,Drive Lah Pte Ltd - Wise HR Salary Payments - Thummanapally Tilak,DEACTIVATE-redundant
53,Drive Lah Pte Ltd - Wise HR Salary Payments - Vigneshsuran So Dhevan,DEACTIVATE-redundant
55,Drive Lah Pte Ltd - Wise HR Salary Payments - Rahul Moitra,DEACTIVATE-redundant
56,Drive Lah Pte Ltd - Wise HR Salary Payments - Bhalani Nimesh Himmatbhai,DEACTIVATE-redundant
58,Drive Lah Pte Ltd - Wise HR Salary Payments - Aakash Aakash,DEACTIVATE-redundant
59,Drive Lah Pte Ltd - Wise HR Salary Payments - SANJAY KUMAR,DEACTIVATE-redundant
61,Drive Lah Pte Ltd - Wise HR Salary Payments - Geraldine Austin,DEACTIVATE-redundant
62,Drive Lah Pte Ltd - Wise HR Salary Payments - Muhammad Uzair Tanveer,DEACTIVATE-redundant
63,Drive Lah Pte Ltd - Wise HR Salary Payments - Jacob Hyde,DEACTIVATE-redundant
64,Drive Lah Pte Ltd - Wise HR Salary Payments - Farhan Chowdhury,DEACTIVATE-redundant
65,Drive Lah Pte Ltd - Wise HR Salary Payments - Aman Yadav,DEACTIVATE-redundant
67,Drive Lah Pte Ltd - Tech Vendor - SafetyCulture,DEACTIVATE-redundant
68,Drive Lah Pte Ltd - Tech Vendor - OpenAI,DEACTIVATE-redundant
183,Drive Lah Pte Ltd - Sharetribe as Operating Expenses-Technology System Cost,DEACTIVATE-redundant
102,Drive Lah Pte Ltd - Circle CI,DEACTIVATE-redundant
45,Drive Lah Pte Ltd - AWS,DEACTIVATE-redundant
127,Drive Lah Pte Ltd - Intercom,DEACTIVATE-redundant
112,Drive Lah Pte Ltd - Github,DEACTIVATE-redundant
190,Drive Lah Pte Ltd - Surveymonkey,DEACTIVATE-redundant
153,Drive Lah Pte Ltd - Octopods,DEACTIVATE-redundant
207,Drive Lah Pte Ltd - Xero,DEACTIVATE-redundant
94,Drive Lah Pte Ltd - Calendly,DEACTIVATE-redundant
209,Drive Lah Pte Ltd - Zapier,DEACTIVATE-redundant
106,Drive Lah Pte Ltd - Docusign,DEACTIVATE-redundant
105,Drive Lah Pte Ltd - Docsend,DEACTIVATE-redundant
185,Drive Lah Pte Ltd - Slack,DEACTIVATE-redundant
95,Drive Lah Pte Ltd - Canva,DEACTIVATE-redundant
120,Drive Lah Pte Ltd - Hotjar,DEACTIVATE-redundant
46,Drive Lah Pte Ltd - Birthdaybot,DEACTIVATE-redundant
200,Drive Lah Pte Ltd - type form,DEACTIVATE-redundant
141,Drive Lah Pte Ltd - Lucidchart,DEACTIVATE-redundant
159,Drive Lah Pte Ltd - Papertrail,DEACTIVATE-redundant
47,Drive Lah Pte Ltd - Bitly,DEACTIVATE-redundant
41,Drive Lah Pte Ltd - Adobe,DEACTIVATE-redundant
150,Drive Lah Pte Ltd - Notion,DEACTIVATE-redundant
151,Drive Lah Pte Ltd - Notionforms,DEACTIVATE-redundant
118,Drive Lah Pte Ltd - Hellosign,DEACTIVATE-redundant
192,Drive Lah Pte Ltd - Timetastic,DEACTIVATE-redundant
110,Drive Lah Pte Ltd - Finger Print,DEACTIVATE-redundant
203,Drive Lah Pte Ltd - Voucherify,DEACTIVATE-redundant
