id,entity_id,entry_date,description,reference_number,status,created_by,created_at,updated_at,posted_at,posting_user_id,intercompany_group_id,source,source_schedule_id
1,2,2026-01-01,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,,DRAFT,,2026-03-10 00:25:04.184313,2026-03-10 00:25:04.521023,,,,categorization_engine,
2,2,2026-01-01,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,,DRAFT,,2026-03-10 00:25:04.953367,2026-03-10 00:25:05.196358,,,,categorization_engine,
3,2,2026-01-02,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,,DRAFT,,2026-03-10 00:25:05.609218,2026-03-10 00:25:05.974984,,,,categorization_engine,
4,2,2026-01-02,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,,DRAFT,,2026-03-10 00:25:06.417135,2026-03-10 00:25:06.660377,,,,categorization_engine,
5,2,2026-01-03,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,,DRAFT,,2026-03-10 00:25:07.077315,2026-03-10 00:25:07.308008,,,,categorization_engine,
6,3,2026-03-04,Sent money to MELBOURNE PRESTIGE CENTRE,,DRAFT,,2026-03-10 10:40:43.739801,2026-03-10 10:40:44.076271,,,,counterparty_default,
8,2,2026-01-01,xx-3217 FACEBK *7URXTBHBY2     fb. DEBIT PURCHASE,,DRAFT,,2026-03-11 09:07:58.327742,2026-03-11 09:07:58.823455,,,,counterparty_default,
9,3,2026-02-23,Sent money to ACE Administration Services Pty Ltd,,DRAFT,,2026-03-11 09:07:59.473752,2026-03-11 09:08:00.139057,,,,counterparty_default,
10,3,2026-02-23,Sent money to ACE Administration Services Pty Ltd,,DRAFT,,2026-03-11 09:08:00.892545,2026-03-11 09:08:01.449323,,,,counterparty_default,
11,3,2026-02-23,Sent money to ACE Administration Services Pty Ltd,,DRAFT,,2026-03-11 09:08:02.440864,2026-03-11 09:08:02.935320,,,,counterparty_default,
12,3,2026-02-13,Sent money to Focussed Assessing Pty Ltd,,DRAFT,,2026-03-11 09:08:03.733444,2026-03-11 09:08:04.240548,,,,counterparty_default,
13,3,2026-02-10,Sent money to Onfido PTE Ltd,,DRAFT,,2026-03-11 09:08:04.834892,2026-03-11 09:08:05.398685,,,,counterparty_default,
14,3,2026-02-10,Sent money to Onfido PTE Ltd,,DRAFT,,2026-03-11 09:08:06.089126,2026-03-11 09:08:06.495738,,,,counterparty_default,
119,3,2026-03-18,Trip.com,,DRAFT,,2026-03-19 10:03:47.181819,2026-03-19 10:03:47.622834,,,,counterparty_default,
15,3,2026-02-05,Sent money to Roobykon Software OÜ,,DRAFT,,2026-03-11 09:08:07.079734,2026-03-11 09:08:07.582727,,,,counterparty_default,
16,3,2026-02-02,Sent money to illion Australia Pty Ltd,,DRAFT,,2026-03-11 09:08:08.177557,2026-03-11 09:08:08.659883,,,,counterparty_default,
17,3,2026-01-30,Sent money to Sentrilock LLC,,DRAFT,,2026-03-11 09:08:09.249153,2026-03-11 09:08:09.657415,,,,counterparty_default,
18,3,2026-01-30,Sent money to Sentrilock LLC,,DRAFT,,2026-03-11 09:08:10.358143,2026-03-11 09:08:10.775717,,,,counterparty_default,
19,3,2026-01-30,Sent money to Sentrilock LLC,,DRAFT,,2026-03-11 09:08:11.367567,2026-03-11 09:08:11.796159,,,,counterparty_default,
20,3,2026-01-30,Sent money to Sentrilock LLC,,DRAFT,,2026-03-11 09:08:12.312893,2026-03-11 09:08:12.800437,,,,counterparty_default,
21,3,2026-01-28,Sent money to Thinxtra Solutions Pty Ltd,,DRAFT,,2026-03-11 09:08:13.565431,2026-03-11 09:08:14.205782,,,,counterparty_default,
22,3,2026-01-28,Sent money to Thinxtra Solutions Pty Ltd,,DRAFT,,2026-03-11 09:08:15.255292,2026-03-11 09:08:15.839595,,,,counterparty_default,
23,3,2026-01-23,Sent money to Thinxtra Solutions Pty Ltd,,DRAFT,,2026-03-11 09:08:16.561922,2026-03-11 09:08:16.952943,,,,counterparty_default,
7,3,2026-03-04,Sent money to Rohde Smash Repairs,,POSTED,,2026-03-10 10:40:44.489294,2026-03-15 03:16:03.134456,2026-03-15 03:16:03.133294,,,counterparty_default,
24,3,2026-01-23,Sent money to Thinxtra Solutions Pty Ltd,,DRAFT,,2026-03-11 09:08:17.621623,2026-03-11 09:08:18.054859,,,,counterparty_default,
25,3,2026-01-23,Sent money to Thinxtra Solutions Pty Ltd,,DRAFT,,2026-03-11 09:08:18.675101,2026-03-11 09:08:19.243319,,,,counterparty_default,
26,3,2026-01-22,Sent money to MoEngage Inc,,DRAFT,,2026-03-11 09:08:20.032894,2026-03-11 09:08:20.535857,,,,counterparty_default,
27,3,2026-01-20,Sent money to Stuttgart Autos,,DRAFT,,2026-03-11 09:08:21.143510,2026-03-11 09:08:21.525906,,,,counterparty_default,
28,3,2026-01-20,Sent money to Klean Air Aus Decontamination,,DRAFT,,2026-03-11 09:08:22.080338,2026-03-11 09:08:22.466800,,,,counterparty_default,
29,3,2026-01-12,Sent money to GT Insurance-Trust,,DRAFT,,2026-03-11 09:08:22.959852,2026-03-11 09:08:23.363175,,,,counterparty_default,
30,3,2026-01-12,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:08:23.896244,2026-03-11 09:08:24.302552,,,,counterparty_default,
31,3,2026-01-02,Sent money to ACE Administration Services Pty Ltd,,DRAFT,,2026-03-11 09:08:24.850843,2026-03-11 09:08:25.258554,,,,counterparty_default,
32,3,2026-01-02,Sent money to ACE Administration Services Pty Ltd,,DRAFT,,2026-03-11 09:08:25.752544,2026-03-11 09:08:26.135354,,,,counterparty_default,
33,3,2026-01-02,Sent money to ACE Administration Services Pty Ltd,,DRAFT,,2026-03-11 09:08:26.655256,2026-03-11 09:08:27.015139,,,,counterparty_default,
34,3,2026-01-02,Sent money to ACE Administration Services Pty Ltd,,DRAFT,,2026-03-11 09:08:27.540348,2026-03-11 09:08:28.005056,,,,counterparty_default,
35,3,2025-12-24,Sent money to Onfido PTE Ltd,,DRAFT,,2026-03-11 09:09:13.345860,2026-03-11 09:09:13.924189,,,,counterparty_default,
36,3,2025-12-24,Sent money to Intercom Inc.,,DRAFT,,2026-03-11 09:09:15.025644,2026-03-11 09:09:15.641546,,,,counterparty_default,
37,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:16.490549,2026-03-11 09:09:16.896745,,,,counterparty_default,
38,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:17.736953,2026-03-11 09:09:18.173364,,,,counterparty_default,
39,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:18.828566,2026-03-11 09:09:19.347034,,,,counterparty_default,
40,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:20.004675,2026-03-11 09:09:20.505624,,,,counterparty_default,
41,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:21.111723,2026-03-11 09:09:21.645287,,,,counterparty_default,
42,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:22.716932,2026-03-11 09:09:23.210768,,,,counterparty_default,
43,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:23.954682,2026-03-11 09:09:24.388979,,,,counterparty_default,
44,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:24.933986,2026-03-11 09:09:25.297330,,,,counterparty_default,
45,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:26.022081,2026-03-11 09:09:26.397444,,,,counterparty_default,
46,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:26.965497,2026-03-11 09:09:27.815121,,,,counterparty_default,
47,3,2025-12-23,Sent money to Rohde Smash Repairs,,DRAFT,,2026-03-11 09:09:28.538740,2026-03-11 09:09:28.931052,,,,counterparty_default,
48,2,2026-01-02,FUND TRANSFER Fund Transfer to account 713147601001 SGD 10 000.00@1,,DRAFT,,2026-03-11 09:17:34.066624,2026-03-11 09:17:34.379492,,,,categorization_engine,
49,2,2026-01-07,FUND TRANSFER Fund Transfer to account 713147601001 SGD 10 000.00@1,,DRAFT,,2026-03-11 09:17:34.808686,2026-03-11 09:17:35.099023,,,,categorization_engine,
50,2,2026-01-12,FUND TRANSFER Fund Transfer to account 713147601001 SGD 18 000.00@1,,DRAFT,,2026-03-11 09:17:35.547393,2026-03-11 09:17:35.849371,,,,categorization_engine,
51,2,2026-01-16,FUND TRANSFER Fund Transfer to account 713147601001 SGD 3 000.00@1,,DRAFT,,2026-03-11 09:17:36.264490,2026-03-11 09:17:36.606681,,,,categorization_engine,
52,2,2026-01-26,FUND TRANSFER Fund Transfer to account 713147601001 SGD 38 000.00@1,,DRAFT,,2026-03-11 09:17:37.039712,2026-03-11 09:17:37.328505,,,,categorization_engine,
53,2,2026-01-02,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P bg8l,,DRAFT,,2026-03-11 09:17:52.386536,2026-03-11 09:17:52.686129,,,,categorization_engine,
54,2,2026-01-08,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P 7mQK,,DRAFT,,2026-03-11 09:17:53.072543,2026-03-11 09:17:53.409842,,,,categorization_engine,
55,2,2026-01-12,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P u1UN,,DRAFT,,2026-03-11 09:17:53.837244,2026-03-11 09:17:54.154115,,,,categorization_engine,
60,2,2026-01-07,FAST PAYMENT OTHR WISE SM3P260107777531 SM3P260107777531,,DRAFT,,2026-03-11 09:17:57.661201,2026-03-11 09:17:57.953617,,,,categorization_engine,
56,2,2026-01-15,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P 2oIQ,,DRAFT,,2026-03-11 09:17:54.549828,2026-03-11 09:17:54.841086,,,,categorization_engine,
61,2,2026-01-15,FAST PAYMENT OTHR WISE SM3P260115945109 SM3P260115945109,,DRAFT,,2026-03-11 09:17:58.383776,2026-03-11 09:17:58.692565,,,,categorization_engine,
57,2,2026-01-20,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P Pyaa,,DRAFT,,2026-03-11 09:17:55.298002,2026-03-11 09:17:55.585941,,,,categorization_engine,
59,2,2026-01-27,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P PYHB,,VOID,,2026-03-11 09:17:56.731077,2026-03-11 09:19:20.122917,,,,categorization_engine,
58,2,2026-01-23,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P szrK,,DRAFT,,2026-03-11 09:17:56.005155,2026-03-11 09:17:56.301066,,,,categorization_engine,
93,3,2026-03-14,International Transaction Fee Value Date: 11/03/2026,,DRAFT,,2026-03-18 08:11:21.676446,2026-03-18 08:11:21.988080,,,,categorization_engine,
94,3,2026-03-14,International Transaction Fee Value Date: 11/03/2026,,DRAFT,,2026-03-18 08:11:28.368745,2026-03-18 08:11:28.627727,,,,categorization_engine,
95,3,2026-03-14,Twilio HCRRGNX7DJJFDKB9 844-8144627 CA US Card xx1999 USD 950.45 Value Date: 10/03/2026,,DRAFT,,2026-03-18 08:11:29.077135,2026-03-18 08:11:29.396074,,,,counterparty_default,
142,3,2026-03-16,Direct Debit 066429 Linkt Melbourne 228714538-75837720,,DRAFT,,2026-03-19 10:04:07.121172,2026-03-19 10:04:07.502808,,,,categorization_engine,
107,3,2026-03-18,International Transaction Fee Value Date: 15/03/2026,,DRAFT,,2026-03-18 22:40:57.181762,2026-03-18 22:40:57.446474,,,,categorization_engine,
108,3,2026-03-18,International Transaction Fee Value Date: 16/03/2026,,DRAFT,,2026-03-18 22:40:57.885520,2026-03-18 22:40:58.115906,,,,categorization_engine,
109,3,2026-03-18,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,,DRAFT,,2026-03-18 22:40:58.546094,2026-03-18 22:40:58.875913,,,,categorization_engine,
