id,entry_id,account_code,debit_amount,credit_amount,description,entity_id,created_at,updated_at
1,1,6701,14.77,0.00,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:04.277859,2026-03-10 00:25:04.277864
2,1,1000,0.00,14.77,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:04.277865,2026-03-10 00:25:04.277865
3,2,6701,15.40,0.00,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:04.988927,2026-03-10 00:25:04.988940
4,2,1000,0.00,15.40,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:04.988944,2026-03-10 00:25:04.988947
5,3,6701,14.58,0.00,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:05.646634,2026-03-10 00:25:05.646638
6,3,1000,0.00,14.58,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:05.646639,2026-03-10 00:25:05.646639
7,4,6701,14.49,0.00,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:06.456887,2026-03-10 00:25:06.456901
8,4,1000,0.00,14.49,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:06.456906,2026-03-10 00:25:06.456909
9,5,6701,14.64,0.00,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:07.109529,2026-03-10 00:25:07.109537
10,5,1000,0.00,14.64,xx-6839 ANTHROPIC              SAN DEBIT PURCHASE,2,2026-03-10 00:25:07.109538,2026-03-10 00:25:07.109539
11,6,5032,968.00,0.00,Sent money to MELBOURNE PRESTIGE CENTRE,3,2026-03-10 10:40:43.777634,2026-03-10 10:40:43.777639
12,6,1010,0.00,968.00,Sent money to MELBOURNE PRESTIGE CENTRE,3,2026-03-10 10:40:43.777641,2026-03-10 10:40:43.777642
13,7,5032,3909.30,0.00,Sent money to Rohde Smash Repairs,3,2026-03-10 10:40:44.524616,2026-03-10 10:40:44.524621
14,7,1010,0.00,3909.30,Sent money to Rohde Smash Repairs,3,2026-03-10 10:40:44.524622,2026-03-10 10:40:44.524622
15,8,6500,1362.50,0.00,xx-3217 FACEBK *7URXTBHBY2     fb. DEBIT PURCHASE,2,2026-03-11 09:07:58.405813,2026-03-11 09:07:58.405823
16,8,1000,0.00,1362.50,xx-3217 FACEBK *7URXTBHBY2     fb. DEBIT PURCHASE,2,2026-03-11 09:07:58.405825,2026-03-11 09:07:58.405827
17,9,6500,907.50,0.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:07:59.553485,2026-03-11 09:07:59.553493
18,9,1010,0.00,907.50,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:07:59.553495,2026-03-11 09:07:59.553496
19,10,6500,1100.00,0.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:00.975604,2026-03-11 09:08:00.975608
20,10,1010,0.00,1100.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:00.975609,2026-03-11 09:08:00.975610
21,11,6500,770.00,0.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:02.519541,2026-03-11 09:08:02.519547
22,11,1010,0.00,770.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:02.519549,2026-03-11 09:08:02.519549
23,12,5034,220.00,0.00,Sent money to Focussed Assessing Pty Ltd,3,2026-03-11 09:08:03.816924,2026-03-11 09:08:03.816927
24,12,1010,0.00,220.00,Sent money to Focussed Assessing Pty Ltd,3,2026-03-11 09:08:03.816927,2026-03-11 09:08:03.816928
25,13,6701,989.22,0.00,Sent money to Onfido PTE Ltd,3,2026-03-11 09:08:04.929628,2026-03-11 09:08:04.929633
26,13,1010,0.00,989.22,Sent money to Onfido PTE Ltd,3,2026-03-11 09:08:04.929634,2026-03-11 09:08:04.929635
27,14,6701,8156.77,0.00,Sent money to Onfido PTE Ltd,3,2026-03-11 09:08:06.153197,2026-03-11 09:08:06.153209
28,14,1010,0.00,8156.77,Sent money to Onfido PTE Ltd,3,2026-03-11 09:08:06.153211,2026-03-11 09:08:06.153213
29,15,1710,2881.34,0.00,Sent money to Roobykon Software OÜ,3,2026-03-11 09:08:07.136003,2026-03-11 09:08:07.136008
30,15,1010,0.00,2881.34,Sent money to Roobykon Software OÜ,3,2026-03-11 09:08:07.136009,2026-03-11 09:08:07.136010
31,16,6701,5316.03,0.00,Sent money to illion Australia Pty Ltd,3,2026-03-11 09:08:08.245673,2026-03-11 09:08:08.245684
32,16,1010,0.00,5316.03,Sent money to illion Australia Pty Ltd,3,2026-03-11 09:08:08.245686,2026-03-11 09:08:08.245688
33,17,5030,1414.01,0.00,Sent money to Sentrilock LLC,3,2026-03-11 09:08:09.328694,2026-03-11 09:08:09.328698
34,17,1010,0.00,1414.01,Sent money to Sentrilock LLC,3,2026-03-11 09:08:09.328699,2026-03-11 09:08:09.328700
35,18,5030,1379.14,0.00,Sent money to Sentrilock LLC,3,2026-03-11 09:08:10.407832,2026-03-11 09:08:10.407841
36,18,1010,0.00,1379.14,Sent money to Sentrilock LLC,3,2026-03-11 09:08:10.407843,2026-03-11 09:08:10.407844
37,19,5030,1190.15,0.00,Sent money to Sentrilock LLC,3,2026-03-11 09:08:11.435089,2026-03-11 09:08:11.435091
38,19,1010,0.00,1190.15,Sent money to Sentrilock LLC,3,2026-03-11 09:08:11.435092,2026-03-11 09:08:11.435092
39,20,1010,1191.08,0.00,Sent money to Sentrilock LLC,3,2026-03-11 09:08:12.374944,2026-03-11 09:08:12.374948
40,20,5030,0.00,1191.08,Sent money to Sentrilock LLC,3,2026-03-11 09:08:12.374949,2026-03-11 09:08:12.374949
41,21,5030,13496.98,0.00,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:13.629312,2026-03-11 09:08:13.629323
42,21,1010,0.00,13496.98,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:13.629324,2026-03-11 09:08:13.629325
43,22,5030,12184.74,0.00,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:15.339773,2026-03-11 09:08:15.339780
44,22,1010,0.00,12184.74,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:15.339782,2026-03-11 09:08:15.339783
45,23,5030,2213.29,0.00,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:16.604440,2026-03-11 09:08:16.604454
46,23,1010,0.00,2213.29,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:16.604457,2026-03-11 09:08:16.604459
47,24,5030,22180.10,0.00,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:17.691448,2026-03-11 09:08:17.691459
48,24,1010,0.00,22180.10,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:17.691463,2026-03-11 09:08:17.691466
49,25,5030,12436.32,0.00,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:18.733872,2026-03-11 09:08:18.733879
50,25,1010,0.00,12436.32,Sent money to Thinxtra Solutions Pty Ltd,3,2026-03-11 09:08:18.733880,2026-03-11 09:08:18.733881
51,26,6701,5908.28,0.00,Sent money to MoEngage Inc,3,2026-03-11 09:08:20.111768,2026-03-11 09:08:20.111780
52,26,1010,0.00,5908.28,Sent money to MoEngage Inc,3,2026-03-11 09:08:20.111783,2026-03-11 09:08:20.111785
53,27,5032,1898.60,0.00,Sent money to Stuttgart Autos,3,2026-03-11 09:08:21.189869,2026-03-11 09:08:21.189883
54,27,1010,0.00,1898.60,Sent money to Stuttgart Autos,3,2026-03-11 09:08:21.189887,2026-03-11 09:08:21.189890
55,28,5032,2200.00,0.00,Sent money to Klean Air Aus Decontamination,3,2026-03-11 09:08:22.137200,2026-03-11 09:08:22.137211
56,28,1010,0.00,2200.00,Sent money to Klean Air Aus Decontamination,3,2026-03-11 09:08:22.137215,2026-03-11 09:08:22.137219
57,29,5035,3000.00,0.00,Sent money to GT Insurance-Trust,3,2026-03-11 09:08:23.005497,2026-03-11 09:08:23.005500
58,29,1010,0.00,3000.00,Sent money to GT Insurance-Trust,3,2026-03-11 09:08:23.005501,2026-03-11 09:08:23.005502
59,30,5032,2156.69,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:08:23.957540,2026-03-11 09:08:23.957544
60,30,1010,0.00,2156.69,Sent money to Rohde Smash Repairs,3,2026-03-11 09:08:23.957546,2026-03-11 09:08:23.957546
61,31,6500,880.00,0.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:24.927037,2026-03-11 09:08:24.927041
62,31,1010,0.00,880.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:24.927042,2026-03-11 09:08:24.927042
63,32,6500,1430.00,0.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:25.803766,2026-03-11 09:08:25.803770
64,32,1010,0.00,1430.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:25.803771,2026-03-11 09:08:25.803772
65,33,6500,907.50,0.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:26.704554,2026-03-11 09:08:26.704558
66,33,1010,0.00,907.50,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:26.704560,2026-03-11 09:08:26.704561
67,34,6500,1155.00,0.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:27.615128,2026-03-11 09:08:27.615138
68,34,1010,0.00,1155.00,Sent money to ACE Administration Services Pty Ltd,3,2026-03-11 09:08:27.615140,2026-03-11 09:08:27.615141
69,35,6701,6932.67,0.00,Sent money to Onfido PTE Ltd,3,2026-03-11 09:09:13.479383,2026-03-11 09:09:13.479395
70,35,1010,0.00,6932.67,Sent money to Onfido PTE Ltd,3,2026-03-11 09:09:13.479397,2026-03-11 09:09:13.479399
71,36,6701,28602.26,0.00,Sent money to Intercom Inc.,3,2026-03-11 09:09:15.140606,2026-03-11 09:09:15.140610
72,36,1010,0.00,28602.26,Sent money to Intercom Inc.,3,2026-03-11 09:09:15.140611,2026-03-11 09:09:15.140611
73,37,5032,3000.00,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:16.550419,2026-03-11 09:09:16.550423
74,37,1010,0.00,3000.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:16.550425,2026-03-11 09:09:16.550425
77,39,5032,1430.00,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:18.891624,2026-03-11 09:09:18.891628
78,39,1010,0.00,1430.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:18.891630,2026-03-11 09:09:18.891631
