entity,month,event_type,amount,currency,status
Australia Pty Ltd.,2026-01-01,deposit_refunds,-68450.00,AUD,STAGED
Australia Pty Ltd.,2026-01-01,deposits_received,37250.00,AUD,STAGED
Australia Pty Ltd.,2026-01-01,disputes,-1012.54,AUD,STAGED
Australia Pty Ltd.,2026-01-01,fuel_refunds,-18106.12,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_cleanliness_payout,1021.70,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_damage_payout,105432.21,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_excess_mileage_payout,3735.20,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_flexplus_payout,7718.45,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_fuel_charges_collected,24302.52,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_fuel_payout,774.95,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_misc_payout,19158.29,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_tolls_payout,4058.95,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_transfers_cash,-297064.91,AUD,STAGED
Australia Pty Ltd.,2026-01-01,host_trip_earnings,235020.40,AUD,STAGED
Australia Pty Ltd.,2026-01-01,incidentals_direct_revenue,356734.14,AUD,STAGED
Australia Pty Ltd.,2026-01-01,incidentals_invoiced,151382.11,AUD,STAGED
Australia Pty Ltd.,2026-01-01,incidentals_paid,40210.69,AUD,STAGED
Australia Pty Ltd.,2026-01-01,invoice_refunds,-8397.55,AUD,STAGED
Australia Pty Ltd.,2026-01-01,stripe_fees,14233.67,AUD,STAGED
Australia Pty Ltd.,2026-01-01,subscription_refunds,-2071.50,AUD,STAGED
Australia Pty Ltd.,2026-01-01,subscriptions_invoiced,63584.74,AUD,STAGED
Australia Pty Ltd.,2026-01-01,subscriptions_paid,52018.63,AUD,STAGED
Australia Pty Ltd.,2026-01-01,trip_charges,238533.23,AUD,STAGED
