merchant,txn_count,total,ai_suggestion,txn_ids,YOUR_REMARK (code or instruction)
=è0;è;) 73.00.60VO.980D.100S.3R.LS30303R852ZZ,1,-5.89,6402 — Entertainment,7124,
=X0>_6) 73.00.60VO.461D.100S.3R.LS30303R852ZZ,1,-25.61,6400 — Travel - Tickets,6535,
7-Eleven 4170 BROADBEACH,1,-115.21,5062 — On-Ground Team - Expenses,10785,
7-Eleven-16 Collyer Quay Singapore,1,-5.97,6013 — Employee Claims - Office Supplies,10765,
7-ELEVEN-700 GEYLANG RD Singapore SG,1,-5.9,6402 — Entertainment,6391,
73.00.60VO.461D.100S.3R.LS30303R852ZZ01.8.815,1,-11.79,6300 — Office Rent,6599,
73.00.60VO.980D.100S.3R.LS30303R852ZZ21.9.311,1,-11.47,6401 — Travel - Meals,7019,
Adina Pentridge COBURG,1,-60.72,6400 — Travel - Tickets,10836,
Amazon Marketplace Au SYDNEY,1,-65.42,6310 — Office Equipment,10737,
Ampol Randwick 22221f RANDWICK,1,-30.01,6400 — Travel - Tickets,10425,
Atrium Cafe Sydney Pty MASCOT AU,1,-7.74,6402 — Entertainment,6368,
BOPP & TONES Sydney AU,1,-86.78,6401 — Travel - Meals,6998,
Bp Aa Preston 3662 PRESTON,1,-30.89,6400 — Travel - Tickets,10855,Employee Claims - Transport
Bp Bayside 4216 BRIGHTON EAST,1,-50.11,6400 — Travel - Tickets,10847,Employee Claims - Transport
Bp Beresfield 1231 BERESFIELD,1,-85.83,6400 — Travel - Tickets,10753,Employee Claims - Transport
Bp Riverside Maclean2494 MACLEAN,1,-92.87,6400 — Travel - Tickets,10787,Employee Claims - Transport
Bp Wardell 1359 WARDELL,1,-71.55,6400 — Travel - Tickets,10756,Employee Claims - Transport
Bytesim Limited ADMIRALTY,1,-5.55,6701 — Technology - Software Subscriptions,10759,Employee Claims - Meals
CABANA BAR SYDNEY SYDNEY AU,1,-30.45,6402 — Entertainment,6589,Employee Claims - Meals
Car Wash Bondi Bondi Beach,4,-117.76,5060 — Parking - RMS Fleet,10329;10346;10426;10438,washing of our RMS fleet - how should we hadnle these
Car Wash Haberfield Haberfield,1,-27.91,5060 — Parking - RMS Fleet,10456,washing of our RMS fleet - how should we hadnle these
Car Wash Kingsford Kingsford,1,-27.41,5060 — Parking - RMS Fleet,10328,washing of our RMS fleet - how should we hadnle these
Car Wash Rushcutters Edgecliff,2,-58.88,5060 — Parking - RMS Fleet,10429;10431,washing of our RMS fleet - how should we hadnle these
Cas*Little Surprise Box MUMBAI,1,-69.13,6400 — Travel - Tickets,9789,
Chemist Warehouse KNOXFIELD,1,-10,6014 — Employee Claims - Other,10218,
Chimichanga Paya Lebar Singapore,1,-26.48,6401 — Travel - Meals,10356,
CITYOFSYDNEY PARKING SYDNEY AU,1,-6.4,6400 — Travel - Tickets,6532,
Coderabbit* Coderabbit CODERABBIT.AI,2,-113.67,6701 — Technology - Software Subscriptions,10310;10839,ok
Didit DIDIT.ME,1,-758.08,6701 — Technology - Software Subscriptions,9811,ok
Din Tai Fung-Mbs SINGAPORE,1,-77.07,6401 — Travel - Meals,10783,
Dunkirk Hotel Pyrmont AU,1,-40.15,6401 — Travel - Meals,6977,
Exportcomments.com BUCHAREST,1,-34.44,6701 — Technology - Software Subscriptions,9691,
FINEST PAYA LEBAR QUARTER SINGAPORE SG,1,-12.14,6401 — Travel - Meals,6379,
Five Guys SINGAPORE,1,-37.67,6401 — Travel - Meals,10341,
FLIGHT CLUB CP SEPANG MY,1,-3.26,6402 — Entertainment,6377,
Grab* A-99gtsnbw2posav Singapore,2,-20.77,6400 — Travel - Tickets,10535;10548,Employee Claims - Transport
Grab* A-99lehfiwwo9aav Singapore,1,-9.13,6400 — Travel - Tickets,10555,Employee Claims - Transport
Grab* A-99mfe2fwxbrnav Singapore,1,-19.29,6400 — Travel - Tickets,10556,Employee Claims - Transport
Grab* A-9epohhpgx5hhav Singapore,1,-22.42,6012 — Employee Claims - Transport,10772,Employee Claims - Transport
Grab* A-9es4m3mwwp5sav Singapore,1,-44.7,6012 — Employee Claims - Transport,10784,Employee Claims - Transport
Grab* A-9etti6nww9a5av Singapore,1,-22.04,6012 — Employee Claims - Transport,10786,Employee Claims - Transport
Grab* A-9evuvo9gw44uav Singapore,1,-37.38,6012 — Employee Claims - Transport,10793,Employee Claims - Transport
Grafana Labs 332-3732228,1,-25.67,6701 — Technology - Software Subscriptions,10738,ok
GYG MARTIN PLACE Sydney AU,1,-14.2,6402 — Entertainment,6494,
Hard Rock Cafe - T2 SINGAPORE,1,-37.19,6401 — Travel - Meals,10797,ok
Hchain Pte Ltd N/A,1,-13.76,6400 — Travel - Tickets,10417,
Initialcommit.co INITIALCOMMIT,1,-288.28,6701 — Technology - Software Subscriptions,10740,ok
Internationale Tennisclub Amsterdam,1,-12.29,6400 — Travel - Tickets,10760,
JB HI FI MACQUARIE NORTH RYDE AU,1,-158,6310 — Office Equipment,6667,ok
Jb Hi Fi WANTIRNA SOUT,1,-297,6310 — Office Equipment,10600,ok
Jb Melbourne Interna MELBOURNE AIR,1,-143.14,5060 — Parking - RMS Fleet,9794,ok
KITCHEN BY MIKE MASCOT AU,1,-7.78,6401 — Travel - Meals,6609,Employee Claims - Other
Kopitiam@mbc Singapore,1,-9.44,6401 — Travel - Meals,9882,Employee Claims - Other
Liberty Oil Coburg COBURG,1,-30.03,6400 — Travel - Tickets,10863,Employee Claims - Other
Lotte Tr Melbourne Airpor Melbourne,1,-88.65,5060 — Parking - RMS Fleet,10524,Employee Claims - Other
Lotte Travel Retail MELBOURNE AIR,1,-110.83,6400 — Travel - Tickets,9795,Employee Claims - Other
Marche Singapore,2,-63.72,6400 — Travel - Tickets,10334;10421,
Mcdonald's (hfc) SINGAPORE,1,-2.86,6400 — Travel - Tickets,9816,Employee Claims - Meals
Mercimarcelgroup.com SINGAPORE,1,-55.24,6400 — Travel - Tickets,10331,
METRO PETROLEUMCROW WOLLONGONGAU,1,-174.81,5060 — Parking - RMS Fleet,7102,
Obsidian +12262203323,2,0,6701 — Technology - Software Subscriptions,10412;10413,ok
Otr Rouse Hill ROUSE HILL,2,-65.64,6013 — Employee Claims - Office Supplies,10815;10822,
Panasonic Avionics Corpor Irvine,4,-129.29,6400 — Travel - Tickets,9798;9800;10427;10528,Employee Claims - Other
PINKIE PROMISE & CO PTYPICAULFIELD NORAU,1,-6.1,5060 — Parking - RMS Fleet,6476,
Poacher And Hound MOUNT WAVERLE,1,-21.5,6401 — Travel - Meals,10642,
POST LINDFIELD WEST LP LINDFIELD AU,1,-41.6,6400 — Travel - Tickets,6552,
