txn_id,bank_account,date,amount,currency,description,counterparty,ai_suggestion,ai_confidence,YOUR_REMARK (code or instruction)
7118,CBA,27/3/2026,42000,AUD,Direct Credit 507141 Misc Misc_UDT1hoWrJ4Rma,,1220 — Other Receivables,0.5,this is a loan - I need to confirm from whom
6376,CBA,14/4/2026,-20000,AUD,Transfer to CBA A/c CommBank app Consult work,,6501 — Legal Fees,0.65,director salary - Gaurav Singhal
6429,CBA,27/4/2026,-14648,AUD,Transfer to CBA A/c CommBank app Consult,,6501 — Legal Fees,0.65,director salary - Gaurav Singhal
5236,OCBC,18/6/2026,10000,SGD,PAYMENT/TRANSFER OTHR REVIO LABS PTE. LTD 2193987552Refund,,7001 — Other Income - Cash Rebate,0.75,this is a refund of amount paid by another company Revio labs. Where is the payment to revio labs??
7087,CBA,18/3/2026,1057.41,AUD,Transfer In Admin CF-15245631C,,1220 — Other Receivables,0.45,ok
6328,CBA,2/4/2026,900,AUD,Direct Credit 421520 FCM Pty Ltd Trus FCM006056,,1220 — Other Receivables,0.5,this is refund of focus assesment etc. they are a vendor
6598,CBA,2/6/2026,500,AUD,Direct Credit 421520 AUTOROLA AUSTRA 1YJ5AF,Autorola,1220 — Other Receivables,0.65,Again refund to autorola
6130,OCBC Main account,11/6/2026,500,SGD,FAST TRANSFER OTHR S$ LS E&C PTE. SG3P260611787496 PayNow: SG3P260611787496,,1220 — Other Receivables,0.5,ok
6527,CBA,19/5/2026,-324.82,AUD,Traveloka3DS*135706475 WWW.TRAVELOKA AU Card xx1999 Value Date 15/05/2026,,6401 — Travel - Meals,0.65,ok
6187,OCBC Main account,24/6/2026,300,SGD,PAYMENT/TRANSFER LOAR S$ SHAHNAZ H LATIFF PayNow: Shahnaz H Latiff,,2200 — Accrued Expenses,0.5,ok
9909,Wise AUD,2/2/2026,-203.95,AUD,Card transaction of 203.95 AUD issued by Vistaprint Australia Pty Derrimut,,6103 — Marketing - Asset Creation,0.7,ok
9883,Wise AUD,28/1/2026,-203.95,AUD,Card transaction of 203.95 AUD issued by Vistaprint Australia Pty Derrimut,,6103 — Marketing - Asset Creation,0.7,ok
7102,CBA,22/3/2026,-174.81,AUD,METRO PETROLEUMCROW WOLLONGONGAU,,5060 — Parking - RMS Fleet,0.7,ok
6614,CBA,8/6/2026,-161,AUD,Transfer to xx3529 CommBank app Gurjeet gift,,6014 — Employee Claims - Other,0.55,ok
6019,OCBC Main account,14/5/2026,-157.4,SGD,DEBIT PURCHASE USD 120.00 12/05/26 xx-5942 TERMIUS CORPORATI SAN,,6700 — Technology - Infrastructure,0.7,ok
10758,Wise AUD,8/6/2026,-135,AUD,Card transaction of 135.00 AUD issued by Spire Residences By Cllix BRISBANE CITY,,6400 — Travel - Tickets,0.65,ok
6738,CBA,8/1/2026,131.58,AUD,Direct Credit 507141 DrivematePayout Drivemate_TkJoNVYy,,1220 — Other Receivables,0.55,ok
10785,Wise AUD,10/6/2026,-115.21,AUD,Card transaction of 115.21 AUD issued by 7-Eleven 4170 BROADBEACH,,5062 — On-Ground Team - Expenses,0.6,ok
6998,CBA,27/2/2026,-86.78,AUD,BOPP & TONES Sydney AU Card xx1999 Value Date 25/02/2026,,6401 — Travel - Meals,0.72,ok
10845,Wise AUD,24/6/2026,-83.45,AUD,Card transaction of 83.45 AUD issued by W&l Group Pty Ltd NOTTING HILL,,6400 — Travel - Tickets,0.65,ok
10783,Wise AUD,10/6/2026,-77.07,AUD,Card transaction of 69.42 SGD issued by Din Tai Fung-Mbs SINGAPORE,,6401 — Travel - Meals,0.65,ok
7038,CBA,9/3/2026,75.55,AUD,Direct Credit 507141 Drivemate0226Pay Drivemate_U67PZmyW,,4025 — Incidentals Revenue - Other,0.45,ok
6488,CBA,12/5/2026,-74.1,AUD,Saint & Rogue Melbourne AU Card xx1999 Value Date 08/05/2026,,6402 — Entertainment,0.78,ok
9789,Wise AUD,21/1/2026,-69.13,AUD,Card transaction of 69.13 AUD issued by Cas*Little Surprise Box MUMBAI,,6400 — Travel - Tickets,0.68,ok
6597,CBA,2/6/2026,66,AUD,Transfer from CommBank app Refund,,7001 — Other Income - Cash Rebate,0.7,ok
10737,Wise AUD,1/6/2026,-65.42,AUD,Card transaction of 65.42 AUD issued by Amazon Marketplace Au SYDNEY,,6310 — Office Equipment,0.65,ok
10836,Wise AUD,22/6/2026,-60.72,AUD,Card transaction of 60.72 AUD issued by Adina Pentridge COBURG,,6400 — Travel - Tickets,0.7,ok
5454,OCBC Main account,4/2/2026,60,SGD,TT IN SGD OC260204003244000 KEVIN HOON TT-SGD60.00,,1220 — Other Receivables,0.65,ok
6899,CBA,9/2/2026,58.38,AUD,Direct Credit 507141 Drivemate0126Pay Drivemate_TvZxytm2,,4025 — Incidentals Revenue - Other,0.45,ok
10018,Wise AUD,26/2/2026,-56.3,AUD,Card transaction of 40.00 USD issued by Unprompted 501(c)(3) UNPROMPTEDCON,,6400 — Travel - Tickets,0.75,ok
10331,Wise AUD,13/4/2026,-55.24,AUD,Card transaction of 49.46 SGD issued by Mercimarcelgroup.com SINGAPORE,,6400 — Travel - Tickets,0.55,ok
6575,CBA,29/5/2026,-50.05,AUD,SPEEDW AY KENT ROAD NORTH RYDE AU Card xx1999 Value Date 26/05/2026,,6400 — Travel - Tickets,0.78,ok
6580,CBA,30/5/2026,-46.2,AUD,SPEEDW AY KENT ROAD NORTH RYDE AU Card xx1999 Value Date 27/05/2026,,6400 — Travel - Tickets,0.78,ok
6426,CBA,25/4/2026,-42,AUD,Transfer to CBA A/c CommBank app Parking,,5060 — Parking - RMS Fleet,0.75,ok
6552,CBA,23/5/2026,-41.6,AUD,POST LINDFIELD WEST LP LINDFIELD AU Card xx1999 Value Date 20/05/2026,,6400 — Travel - Tickets,0.6,ok
10334,Wise AUD,13/4/2026,-40.88,AUD,Card transaction of 36.60 SGD issued by Marche Singapore,,6400 — Travel - Tickets,0.6,ok
10815,Wise AUD,15/6/2026,-40.38,AUD,Card transaction of 40.38 AUD issued by Otr Rouse Hill ROUSE HILL,,6013 — Employee Claims - Office Supplies,0.55,ok
6977,CBA,20/2/2026,-40.15,AUD,Dunkirk Hotel Pyrmont AU Card xx1999 Value Date 18/02/2026,,6401 — Travel - Meals,0.7,ok
