id,name,fate
1,Test rule,DEACTIVATE-redundant
2,Internal Transfer: OCBC 3001 → OCBC 1001,KEEP-transfer
3,Internal Transfer: Stripe → OCBC 3001,KEEP-transfer
4,Internal Transfer: OCBC 3001 → Wise SGD,KEEP-transfer
5,Drive Lah Australia Pty Ltd - Quickbooks,DEACTIVATE-redundant
6,Drive Lah Pte Ltd - Contractor Salary 10,DEACTIVATE-redundant
7,Drive Lah Pte Ltd - Contractor Salary 2,DEACTIVATE-redundant
8,Drive Lah Pte Ltd - Contractor Salary 3,DEACTIVATE-redundant
9,Drive Lah Pte Ltd - Contractor Salary 4,DEACTIVATE-redundant
10,Drive Lah Pte Ltd - Contractor Salary 5,DEACTIVATE-redundant
11,Drive Lah Pte Ltd - Contractor Salary Aus,DEACTIVATE-redundant
12,Drive Lah Pte Ltd - Wise Corporate Salary 2,DEACTIVATE-redundant
13,Drive Lah Pte Ltd - Wise Corporate Salary 3,DEACTIVATE-redundant
14,Drive Lah Pte Ltd - Wise Corporate Salary 4,DEACTIVATE-redundant
15,Drive Lah Pte Ltd - Wise Corporate Salary 5,DEACTIVATE-redundant
16,Drive Lah Pte Ltd - Wise Corporate Salary 7,KEEP-pure-text-splitfix
17,Drive Lah Pte Ltd - Wise Corporate Salary 8,KEEP-pure-text-splitfix
18,Drive Lah Pte Ltd - Wise Corporate Salary 9,KEEP-pure-text-splitfix
19,Drive Lah Pte Ltd - Wise Transfer fee,KEEP-pure-text-splitfix
20,Drive Lah Australia Pty Ltd - Chatgpt,DEACTIVATE-redundant
21,Drive Lah Pte Ltd - Wise HR Salary Payments - Paramjeet,DEACTIVATE-redundant
22,Drive Lah Australia Pty Ltd - (Suggested) Tax Payments Netbank Bpay as,KEEP-party-no-default
23,Drive Lah Australia Pty Ltd - (Suggested) Drive Lah Ventures Holding P,KEEP-pure-text
24,Drive Lah Pte Ltd - Vendor - OpenAI,DEACTIVATE-redundant
25,Drive Lah Australia Pty Ltd - (Suggested) Transfer Benjamin Gotto Smit,DEACTIVATE-superseded-by-arbitrated-default
26,Drive Lah Pte Ltd - 1001 Incoming from 3001 Transfer,KEEP-transfer
27,Drive Lah Pte Ltd - 1001 Outgoing to 3001 Transfer,KEEP-transfer
28,Drive Lah Pte Ltd - 1001 Outgoing to Wise Transfer,KEEP-transfer
29,Drive Lah Pte Ltd - 3001 Incoming from 1001 Transfer,KEEP-transfer
30,Drive Lah Pte Ltd - 3001 Incoming from Stripe Transfer,KEEP-transfer
