account,period,file,format_variant,rows_parsed,printed_opening,sum_amounts,computed_close,printed_close,delta,currency,status,reason
CBA,2022-09-30,Statement20220930.pdf,CBA_QUARTERLY_STATEMENT_PDF,327,98703.81,308897.88,407601.69,407601.69,0.00,AUD,PASS,
CBA,2022-12-30,Statement20221230.pdf,CBA_QUARTERLY_STATEMENT_PDF,293,407601.69,-300935.30,106666.39,106666.39,0.00,AUD,PASS,
CBA,2023-03-30,Statement20230330.pdf,CBA_QUARTERLY_STATEMENT_PDF,173,106666.39,-94131.42,12534.97,12534.97,0.00,AUD,PASS,
CBA,2023-06-30,Statement20230630 (2).pdf,CBA_QUARTERLY_STATEMENT_PDF,258,12534.97,-381.64,12153.33,12153.33,0.00,AUD,PASS,
CBA,2023-06-30,Statement20230630.pdf,CBA_QUARTERLY_STATEMENT_PDF,258,12534.97,-381.64,12153.33,12153.33,0.00,AUD,PASS,
CBA,2023-09-30,Statement20230930.pdf,CBA_QUARTERLY_STATEMENT_PDF,239,12153.33,13613.86,25767.19,25767.19,0.00,AUD,PASS,
CBA,2023-12-30,Statement20231230.pdf,CBA_QUARTERLY_STATEMENT_PDF,204,25767.19,7588.78,33355.97,33355.97,0.00,AUD,PASS,
CBA,2024-03-30,Statement20240330 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,320,33355.97,100289.87,133645.84,133645.84,0.00,AUD,PASS,
CBA,2024-03-30,Statement20240330.pdf,CBA_QUARTERLY_STATEMENT_PDF,320,33355.97,100289.87,133645.84,133645.84,0.00,AUD,PASS,
CBA,2024-06-30,Statement20240630 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,544,133645.84,-100378.89,33266.95,33266.95,0.00,AUD,PASS,
CBA,2024-06-30,Statement20240630.pdf,CBA_QUARTERLY_STATEMENT_PDF,544,133645.84,-100378.89,33266.95,33266.95,0.00,AUD,PASS,
CBA,2024-09-30,Statement20240930 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,649,33266.95,-13241.55,20025.40,20025.40,0.00,AUD,PASS,
CBA,2024-09-30,Statement20240930.pdf,CBA_QUARTERLY_STATEMENT_PDF,649,33266.95,-13241.55,20025.40,20025.40,0.00,AUD,PASS,
CBA,2024-12-30,Statement20241230 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,1030,20025.40,-4765.26,15260.14,15260.14,0.00,AUD,PASS,
CBA,2024-12-30,Statement20241230 (2).pdf,CBA_QUARTERLY_STATEMENT_PDF,1030,20025.40,-4765.26,15260.14,15260.14,0.00,AUD,PASS,
CBA,2024-12-30,Statement20241230.pdf,CBA_QUARTERLY_STATEMENT_PDF,1030,20025.40,-4765.26,15260.14,15260.14,0.00,AUD,PASS,
CBA,2025-03-30,Statement20250330 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,571,15260.14,2916.56,18176.70,18176.70,0.00,AUD,PASS,
CBA,2025-03-30,Statement20250330 (2).pdf,CBA_QUARTERLY_STATEMENT_PDF,571,15260.14,2916.56,18176.70,18176.70,0.00,AUD,PASS,
CBA,2025-03-30,Statement20250330 (3).pdf,CBA_QUARTERLY_STATEMENT_PDF,571,15260.14,2916.56,18176.70,18176.70,0.00,AUD,PASS,
CBA,2025-03-30,Statement20250330.pdf,CBA_QUARTERLY_STATEMENT_PDF,571,15260.14,2916.56,18176.70,18176.70,0.00,AUD,PASS,
CBA,2025-06-30,Statement20250630 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,522,18176.70,34953.82,53130.52,53130.52,0.00,AUD,PASS,
CBA,2025-06-30,Statement20250630.pdf,CBA_QUARTERLY_STATEMENT_PDF,522,18176.70,34953.82,53130.52,53130.52,0.00,AUD,PASS,
CBA,2025-09-30,Statement20250930 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,534,53130.52,-41340.64,11789.88,11789.88,0.00,AUD,PASS,
CBA,2025-09-30,Statement20250930.pdf,CBA_QUARTERLY_STATEMENT_PDF,534,53130.52,-41340.64,11789.88,11789.88,0.00,AUD,PASS,
CBA,2025-12-30,Statement20251230 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,700,11789.88,98041.05,109830.93,109830.93,0.00,AUD,PASS,
CBA,2026-03-30,Statement20260330 (1).pdf,CBA_QUARTERLY_STATEMENT_PDF,428,109830.93,-99388.02,10442.91,10442.91,0.00,AUD,PASS,
CBA,2026-03-30,Statement20260330.pdf,CBA_QUARTERLY_STATEMENT_PDF,161,1755.69,-753.09,1002.60,1002.60,0.00,AUD,PASS,
CBA,2026-06-30,Statement20260630.pdf,CBA_QUARTERLY_STATEMENT_PDF,382,10442.91,-7270.43,3172.48,3172.48,0.00,AUD,PASS,
