entity,date,bank_account,contra_account,amount,kind
au,27/03/2026,1100 Stripe - Clearing Account,1101 Savings (7311),-42000.0,transfer
au,20/03/2026,1100 Stripe - Clearing Account,1101 Savings (7311),-28000.0,transfer
au,17/02/2026,1100 Stripe - Clearing Account,1101 Savings (7311),-20000.0,transfer
au,28/01/2026,1100 Stripe - Clearing Account,1101 Savings (7311),-12000.0,transfer
au,27/01/2026,1100 Stripe - Clearing Account,1101 Savings (7311),-10000.0,transfer
au,16/01/2026,1100 Stripe - Clearing Account,1101 Savings (7311),-25000.0,transfer
au,01/12/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-18000.0,transfer
au,20/11/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-15000.0,transfer
au,19/11/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-4000.0,transfer
au,18/11/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-5000.0,transfer
au,17/11/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-7500.0,transfer
au,30/10/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-18000.0,transfer
au,29/10/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-6000.0,transfer
au,28/10/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-8500.0,transfer
au,27/10/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-34000.0,transfer
au,13/10/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-10000.0,transfer
au,07/10/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-1542.75,transfer
au,27/09/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-7000.0,transfer
au,24/09/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-12000.0,transfer
au,22/09/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-4500.0,transfer
au,17/09/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-12000.0,transfer
au,03/09/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-25000.0,transfer
au,05/08/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-8000.0,transfer
au,30/07/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-13000.0,transfer
au,28/07/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-30000.0,transfer
au,18/07/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-9000.0,transfer
au,17/07/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-3000.0,transfer
au,14/07/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-4000.0,transfer
au,09/07/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-20.16,transfer
au,08/07/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-15000.0,transfer
au,08/07/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-5000.0,transfer
au,20/06/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-12000.0,transfer
au,18/06/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-10000.0,transfer
au,17/06/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-10000.0,transfer
au,16/06/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-4500.0,transfer
au,05/06/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-20000.0,transfer
au,29/05/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-25000.0,transfer
au,27/05/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-15000.0,transfer
au,22/05/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-20000.0,transfer
au,16/05/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-5000.0,transfer
au,15/05/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-10000.0,transfer
au,01/05/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-5000.0,transfer
au,30/04/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-15000.0,transfer
au,14/04/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-29.4,transfer
au,14/04/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-20.0,transfer
au,02/04/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-25000.0,transfer
au,02/04/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-20000.0,transfer
au,20/03/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-25000.0,transfer
au,14/03/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-9000.0,transfer
au,07/03/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-15000.0,transfer
au,04/03/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-5000.0,transfer
au,26/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-50000.0,transfer
au,25/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-15000.0,transfer
au,19/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-15000.0,transfer
au,12/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-7500.0,transfer
au,07/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-92.72,transfer
au,07/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-60.0,transfer
au,07/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-52.07,transfer
au,07/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-39.62,transfer
au,07/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-33.0,transfer
au,07/02/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-32.64,transfer
au,31/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-25000.0,transfer
au,28/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-10000.0,transfer
au,24/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-25000.0,transfer
au,23/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-35000.0,transfer
au,21/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-15000.0,transfer
au,21/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-70000.0,transfer
au,13/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-30000.0,transfer
au,10/01/2025,1100 Stripe - Clearing Account,Operating Expenses:Bank Fees,-2.0,transfer
au,08/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-65000.0,transfer
au,03/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-45000.0,transfer
au,02/01/2025,1100 Stripe - Clearing Account,1101 Savings (7311),-45000.0,transfer
au,31/12/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-440941.06,transfer
au,31/12/2024,1100 Stripe - Clearing Account,1101 Savings (7311),-245000.0,transfer
au,30/11/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-417395.51,transfer
au,30/11/2024,1100 Stripe - Clearing Account,1101 Savings (7311),-192000.0,transfer
au,31/10/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-335113.65,transfer
au,31/10/2024,1100 Stripe - Clearing Account,1101 Savings (7311),-195000.0,transfer
au,30/09/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-235621.16,transfer
au,30/09/2024,1100 Stripe - Clearing Account,1101 Savings (7311),-119500.0,transfer
au,31/08/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-57185.71,transfer
au,31/08/2024,1100 Stripe - Clearing Account,1101 Savings (7311),-34500.0,transfer
au,31/07/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-15726.51,transfer
au,31/07/2024,1100 Stripe - Clearing Account,1101 Savings (7311),-45000.0,transfer
au,30/06/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-14998.65,transfer
au,30/06/2024,1100 Stripe - Clearing Account,1101 Savings (7311),-29000.0,transfer
au,31/05/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-20951.33,transfer
au,31/05/2024,1100 Stripe - Clearing Account,1101 Savings (7311),-33000.0,transfer
au,30/04/2024,1100 Stripe - Clearing Account,2400-STRIPE-HOST Stripe - Host Payables,-17683.16,transfer
