entity,date,name,contra_account,amount
au,14/12/2025,Penguin Risk Solutions,Accounts Payable (A/P),-82274.34
au,12/12/2025,Penguin Risk Solutions,Accounts Payable (A/P),-82274.34
au,10/09/2024,Defiant,Accounts Payable (A/P),-10996.7
au,23/08/2024,Defiant,Accounts Payable (A/P),-9038.38
au,27/06/2024,WP Towing,Accounts Payable (A/P),-385.0
au,18/04/2023,Insuret Premium (deleted),Accounts Payable (A/P),-20260.29
au,26/03/2023,Insuret Premium (deleted),Accounts Payable (A/P),-20260.29
au,30/04/2026,ISS First Response,Accounts Payable (A/P),-9659.49
au,30/04/2026,NORMAN CHAN,Accounts Payable (A/P),-198.0
au,30/04/2026,NORMAN CHAN,Accounts Payable (A/P),-1045.0
au,30/04/2026,SentriLock,Accounts Payable (A/P),-970.32
au,29/04/2026,Penguin Risk Solutions,Accounts Payable (A/P),-69472.07
au,29/04/2026,Autorola,Accounts Payable (A/P),-717.31
au,28/04/2026,Thinxtra,Accounts Payable (A/P),-10742.2
au,27/04/2026,Stephen Inner West Smash Repairs Pty Ltd,Accounts Payable (A/P),-1980.0
au,27/04/2026,Stephen Inner West Smash Repairs Pty Ltd,Accounts Payable (A/P),-3801.6
au,24/04/2026,Altimobility Corp -,Accounts Payable (A/P) - USD,-14045.54
au,15/04/2026,Rohde Smash Repair,Accounts Payable (A/P),-440.0
au,15/04/2026,ATO direct,Accounts Payable (A/P),-13546.18
au,10/04/2026,AUTOBODIES GOLD COAST,Accounts Payable (A/P),-4105.98
au,24/03/2026,Combined Towing,Accounts Payable (A/P),-1584.72
au,24/03/2026,Auto Tow Nominees Pty Ltd,Accounts Payable (A/P),-598.0
au,16/03/2026,1ST CLASS TOWING PTY LTD,Accounts Payable (A/P),-440.0
au,06/03/2026,EXPERIAN AUSTRALIA OPERATIONS,Accounts Payable (A/P),-5877.3
au,06/03/2026,EXPERIAN AUSTRALIA OPERATIONS,Accounts Payable (A/P),-5491.2
au,05/03/2026,U R Drive,Accounts Payable (A/P),-2000.0
au,04/03/2026,The Hollard Insurance Company,Accounts Payable (A/P),-3650.0
au,04/03/2026,Stephen Inner West Smash Repairs Pty Ltd,Accounts Payable (A/P),-5000.0
au,04/03/2026,Rohde Smash Repair,Accounts Payable (A/P),-3909.3
au,04/03/2026,NORMAN CHAN,Accounts Payable (A/P),-1034.0
au,04/03/2026,Stephen Inner West Smash Repairs Pty Ltd,Accounts Payable (A/P),-2090.0
au,04/03/2026,The Hollard Insurance Company,Accounts Payable (A/P),-2306.0
au,04/03/2026,MELBOURNE PRESTIGE CENTRE,Accounts Payable (A/P),-968.0
au,04/03/2026,Northside Autocare Pty Ltd,Accounts Payable (A/P),-296.0
au,23/02/2026,ACE,Accounts Payable (A/P),-770.0
au,23/02/2026,ACE,Accounts Payable (A/P),-1100.0
au,23/02/2026,ACE,Accounts Payable (A/P),-907.5
au,13/02/2026,ISS First Response,Accounts Payable (A/P),-7573.9
au,13/02/2026,ISS First Response,Accounts Payable (A/P),-2841.03
au,13/02/2026,Focussed Assessing Pty Ltd,Accounts Payable (A/P),-220.0
au,09/02/2026,MPDG Services Pty Ltd,Accounts Payable (A/P),-6600.0
