revenue_contra,count
Cost of Service:Host Earnings:Stripe_transfers_usage,773
Gross Revenue-Car Rental Usage:Stripe Platform earnings (deleted),706
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_usage (deleted),613
Gross Revenue-Car Rental Usage:Stripe Refunds,269
4301 CMB - Incidental Revenue,208
Gross-Other Income,151
Gross Revenue-Car Rental Usage,142
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_deposits (deleted),107
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_disputes,90
4300-STRIPE-INC Stripe - Incidentals Revenue,57
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_subscriptions (deleted),27
4100-STRIPE-TRIP Stripe - Trip Revenue,11
4101 CMB - Trip Revenue,4
Sales of Product Revenue,3
Cost of Service:Payment Gateway:Stripe fees,2
Cost of Service:Payment Gateway:Stripe Fees (deleted),1
Cost of Service:Host Earnings,1
