accrual_pattern,count
(unsplit JE),9407
Due To Australia,151
Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,112
Other Operating Expenses:Marketing - Advertising (new customers),107
Other Operating Expenses:Human Resource - Salary Expense,97
Cost of Overhead Related to Service:Operating Expenses,86
Other Operating Expenses:Technology System Cost,84
Brand:Accumulated Depreciation- Branding,75
Director's Remuneration Payable,73
Accrued Expense,70
Cost of Service:Insurance,66
Prepaid Insurance,66
Other Operating Expenses:Human Resource - Directors' Salary,63
Technology Development,55
Computer and Peripherals:Accumulated Depreciation-Computer and peripherals,55
Depreciation - Branding,54
Other Operating Expenses:Depreciation Expense,52
Due from Singapore,50
Gross Revenue,48
Due From Ventures,47
Other Operating Expenses:Marketing Asset Creation,47
Cost of Overhead Related to Service:Marketing - Advertising (retargeting),46
Prepaid Expense,46
Technology Development:Accumulated amortisation - Technology Development,43
Due to SG,41
Business General & Administrative Expense,39
Intangible Asset,36
Hardware:Accumulated Depreciation - Hardware,36
Accumulated Depreciation - Intangible asset,35
In-car Devices:Accumulated Depreciation-In-car Devices,35
Cost of Overhead Related to Service:Operating Expenses:Towing,34
Due From Australian Account,33
Depreciation - Hardware,28
Suspense (deleted),27
Cost of Overhead Related to Service:Market -Asset Creation,26
Cost of Overhead Related to Service:Operating Expenses:Damage,26
Trade and other payables,26
Cost of Overhead Related to Service:Operating Expenses:Parking,25
Computer and Peripherals,24
Cost of Overhead Related to Service:Marketing - Discount & Promotions,22
Cost of Service:Host Earnings:Flex+ payouts,21
Cost of Overhead Related to Service:Salary Expense - Local Ops Staff,21
Due to Ventures,19
Cost of Overhead Related to Service:Operating Expenses:Misc dispute,18
Depreciation-Equipment,17
Trade and other payables - USD,17
Other Operating Expenses:Corporate - Bookkeeping Fees,16
Suspense Account,16
Cost of Overhead Related to Service:Operating Expenses:Cleaning,15
Gross Revenue-Car Rental Usage,15
Due to Fleet,14
Other Payables,14
Employees Expense,12
Other Operating Expenses:Travel-Transportation,12
Cost of Overhead Related to Service:In-car devices - running/maintenance costs,11
Due from Fleet,10
Other Income,10
Cost of Service:Host Earnings,9
Cost of Overhead Related to Service:Operating Expenses:Fuel,9
Exchange Gain or Loss,9
In-car Devices,9
Cost of Service:Payment Gateway,8
Share Capital,8
Trade and other receivables,6
Gross Revenue -Other Income,6
Uncategorised Asset,5
Brand,5
Security Deposit Refundable,5
Payable to Others,5
Other Operating Expenses:Corporate - Legal Fees,5
Device subscriptions,5
Flex+,5
Other Operating Expenses:Corporate - General Expenses,5
Other Operating Expenses:Human Resource - CPF Contribution,5
Fleet Account,5
Other Operating Expenses:Corporate - Office Rent,4
Other Operating Expenses:Bad debts,4
Allowance for doubtful accounts,4
Other Operating Expenses:Subscription Fee,4
Hardware,3
Retained Earnings,3
Accounts Payable,3
Cost of Overhead Related to Service:Operating Expenses:Downtime,3
"AI, Internet & Website Maintenance fees",3
Cost of Overhead Related to Service:Salary expense - Misc claims (Ops staff),2
Fleet Account (deleted),2
Uncategorised Expense,2
Cost of Overhead Related to Service:Operating Expenses:Late return,2
Other Operating Expenses:Corporate - Audit and Tax Fees,2
Computer & Software:Accumulated Depreciation-Computer & Software,1
Other Operating Expenses:Human Resource - Recruitment Advertising Fees,1
Other Operating Expenses:Human Resource - Recruitment Agency Fees,1
FL A/c (deleted),1
Uncategorised Income,1
Cost of Service,1
Cost of Overhead Related to Service:Operating Expenses:Excess mileage,1
Cost of Overhead Related to Service:Operating Expenses:Extensions,1
Cost of Overhead Related to Service:Operating Expenses:Sticker payouts,1
Sales of Product Revenue,1
Other Operating Expenses:Corporate - Other Equipment and Software,1
Other Operating Expenses:Research and Development - Hardware,1
Research and Development Hardware,1
Other Income-Refund,1
Other Operating Expenses:Admin Expense,1
Accumulated amortisation - Technology Development,1
Accumulated Depreciation-Computer and peripherals,1
Accumulated Depreciation-In-car Devices,1
