entity,date,bank_account,contra_account,amount,kind
ventures,20/06/2022,DBS - 4933 - SGD,Due to Singapore,10000.0,IC
ventures,09/08/2022,DBS - 4933 - SGD,Due from Singapore,-125000.0,IC
ventures,29/08/2022,DBS - 4933 - USD,Due from Singapore,-101125.08,IC
ventures,31/08/2022,DBS - 4933 - SGD,Due from Singapore,-200000.0,IC
ventures,31/08/2022,DBS - 4933 - USD,Due from Singapore,0.0,IC
ventures,26/09/2022,DBS - 4933 - SGD,Due from Singapore,-350000.0,IC
ventures,11/11/2022,DBS - 4933 - SGD,Due from Singapore,-35000.0,IC
ventures,03/01/2023,DBS - 4933 - USD,Due from Singapore,-75000.0,IC
ventures,18/01/2023,DBS - 4933 - USD,Due from Singapore,-100000.0,IC
ventures,30/01/2023,DBS - 4933 - SGD,Due from Singapore,-68000.0,IC
ventures,09/02/2023,DBS - 4933 - SGD,Due from Singapore,-60000.0,IC
ventures,16/02/2023,DBS - 4933 - SGD,Due from Singapore,-70000.0,IC
ventures,27/02/2023,DBS - 4933 - SGD,Due from Singapore,-50000.0,IC
ventures,02/03/2023,DBS - 4933 - USD,Due From Australian Account,-26891.9,IC
ventures,09/03/2023,DBS - 4933 - SGD,Due from Singapore,-40000.0,IC
ventures,29/03/2023,DBS - 4933 - SGD,Due from Singapore,-22000.0,IC
ventures,11/04/2023,DBS - 4933 - SGD,Due from Singapore,-75000.0,IC
ventures,17/04/2023,DBS - 4933 - SGD,Due from Singapore,-50000.0,IC
ventures,17/04/2023,DBS - 4933 - SGD,Due from Singapore,-150000.0,IC
ventures,17/04/2023,DBS - 4933 - USD,Due From Australian Account,-19.98,IC
ventures,17/04/2023,DBS - 4933 - USD,Due From Australian Account,-66603.25,IC
ventures,20/04/2023,DBS - 4933 - SGD,Due from Singapore,-125000.0,IC
ventures,30/04/2023,DBS - 4933 - SGD,Due from Singapore,-20000.0,IC
ventures,02/05/2023,DBS - 4933 - SGD,Due from Singapore,-100000.0,IC
ventures,25/05/2023,DBS - 4933 - USD,Due From Australian Account,-20.28,IC
ventures,25/05/2023,DBS - 4933 - USD,Due From Australian Account,-67604.1,IC
ventures,29/05/2023,DBS - 4933 - USD,Due from Singapore,-101467.5,IC
ventures,05/06/2023,DBS - 4933 - USD,Due from Singapore,-67155.0,IC
ventures,19/06/2023,DBS - 4933 - USD,Due From Australian Account,-26790.4,IC
ventures,19/06/2023,DBS - 4933 - USD,Due from Singapore,-39924.0,IC
ventures,28/06/2023,DBS - 4933 - USD,Due from Singapore,-100710.0,IC
ventures,29/06/2023,Operating Expenses:Corporate - Bank Fees,Due to Singapore,745.5,IC
ventures,04/07/2023,DBS - 4933 - USD,Due From Australian Account,-40507.65,IC
ventures,13/07/2023,DBS - 4933 - SGD,Due from Singapore,-50000.0,IC
ventures,25/07/2023,DBS - 4933 - USD,Due from Singapore,-100654.03,IC
ventures,04/08/2023,DBS - 4933 - USD,Due from Singapore,-33515.0,IC
ventures,10/08/2023,DBS - 4933 - USD,Due from Singapore,-50364.13,IC
ventures,21/08/2023,DBS - 4933 - USD,Due from Singapore,-33942.5,IC
ventures,28/08/2023,DBS - 4933 - SGD,Due From Australian Account,-30000.0,IC
ventures,28/08/2023,DBS - 4933 - SGD,Due from Singapore,-110000.0,IC
ventures,12/09/2023,DBS - 4933 - USD,Due from Singapore,-10064.0,IC
ventures,15/09/2023,DBS - 4933 - USD,Due from Singapore,-20115.11,IC
ventures,27/09/2023,DBS - 4933 - USD,Due from Singapore,-82240.5,IC
ventures,04/10/2023,DBS - 4933 - USD,Due from Singapore,-273400.0,IC
ventures,05/10/2023,DBS - 4933 - USD,Due From Australian Account,-102677.25,IC
ventures,16/10/2023,DBS - 4933 - USD,Due from Singapore,-108920.0,IC
ventures,19/10/2023,DBS - 4933 - USD,Due From Australian Account,-34343.95,IC
ventures,19/10/2023,DBS - 4933 - USD,Due from Singapore,-102457.5,IC
ventures,27/10/2023,DBS - 4933 - USD,Due From Australian Account,-20540.18,IC
ventures,27/10/2023,DBS - 4933 - USD,Due from Singapore,-81588.0,IC
ventures,13/11/2023,DBS - 4933 - USD,Due from Singapore,-94577.0,IC
