source,name,priority,direction,currency,bank_accounts,description_operator,description_value,amount_operator,amount_value,amount_value_max,counterparty_condition_operator,counterparty_condition_value,category,contra_account_code,target_bank_account_id,allocation_entity_id,gst_override,counterparty_action,fate_class
live#155,Drive Lah Pte Ltd - Money received from Australia,0,INCOMING,,,CONTAINS,Drive lah Australia Pty Ltd,,,,,,DEPOSIT,8100,,,,STRIPPED (POL-12),KEEP-pure-text
live#214,Drive Lah Pte Ltd - Fleet earnings,0,INCOMING,,,CONTAINS,CSDB STRIPE PAYMENTS,,,,,,INTERNAL_TRANSFER,,20,,,STRIPPED (POL-12),KEEP-transfer
live#26,Drive Lah Pte Ltd - 1001 Incoming from 3001 Transfer,1,INCOMING,,,CONTAINS,TRANSFER Fund Transfer from DRIVE LAH PTE. LTD.,,,,,,INTERNAL_TRANSFER,,18,,,STRIPPED (POL-12),KEEP-transfer
live#242,Drive Lah Australia Pty Ltd - Deposit transfer from stripe to bank,1,INCOMING,,,CONTAINS,Direct Credit 158824 Drivemate,,,,,,INTERNAL_TRANSFER,,21,,,STRIPPED (POL-12),KEEP-transfer
live#31,Drive Lah Pte Ltd - 3001 Outgoing to 1001 Transfer,2,OUTGOING,,,CONTAINS,FUND TRANSFER Fund Transfer to account 713147601001,,,,,,INTERNAL_TRANSFER,,1,,,STRIPPED (POL-12),KEEP-transfer
live#29,Drive Lah Pte Ltd - 3001 Incoming from 1001 Transfer,3,INCOMING,,,CONTAINS,TRANSFER Fund Transfer from DRIVE LAH PTE. LTD.,,,,,,INTERNAL_TRANSFER,,1,,,STRIPPED (POL-12),KEEP-transfer
live#27,Drive Lah Pte Ltd - 1001 Outgoing to 3001 Transfer,4,OUTGOING,,,CONTAINS,FUND TRANSFER Fund Transfer to account 713147603001,,,,,,INTERNAL_TRANSFER,,18,,,STRIPPED (POL-12),KEEP-transfer
live#117,Drive Lah Pte Ltd - Google Storage as Tech operations,4,OUTGOING,,,CONTAINS,Google Storage,,,,CONTAINS,Google,EXPENSE,6701,,,,STRIPPED (POL-12),KEEP-exception-strip-identity
live#2,Internal Transfer: OCBC 3001 → OCBC 1001,5,OUTGOING,,[18],CONTAINS,713147601001,,,,,,INTERNAL_TRANSFER,,1,,,STRIPPED (POL-12),KEEP-transfer
live#3,Internal Transfer: Stripe → OCBC 3001,5,INCOMING,,[18],,,,,,CONTAINS,STRIPE PAYMENTS SIN,INTERNAL_TRANSFER,,19,,,STRIPPED (POL-12),KEEP-transfer
live#4,Internal Transfer: OCBC 3001 → Wise SGD,5,OUTGOING,,"[1, 2, 3, 4, 5, 6, 7, 18, 19, 20]",CONTAINS,WISE,,,,,,INTERNAL_TRANSFER,,2,,,STRIPPED (POL-12),KEEP-transfer
live#34.1,Drive Lah Pte Ltd - Wise Incoming from 3001 Transfer [split 1/2],5,INCOMING,,,CONTAINS,FROM: Drive Lah Pte. Ltd.,,,,,,INTERNAL_TRANSFER,,18,,,STRIPPED (POL-12),KEEP-transfer-splitfix
live#34.2,Drive Lah Pte Ltd - Wise Incoming from 3001 Transfer [split 2/2],5,INCOMING,,,CONTAINS,Money added,,,,,,INTERNAL_TRANSFER,,18,,,STRIPPED (POL-12),KEEP-transfer-splitfix
live#70,Drive Lah Ventures Holding Pte Ltd - DBS USD Outgoing to DBS SGD Transfer,5,OUTGOING,,,CONTAINS,Drive lah Ventures,,,,,,INTERNAL_TRANSFER,,15,,,STRIPPED (POL-12),KEEP-transfer
live#32,Drive Lah Pte Ltd - 3001 Outgoing to Wise Transfer,6,OUTGOING,,,CONTAINS,FAST PAYMENT OTHR WISE,,,,,,INTERNAL_TRANSFER,,2,,,STRIPPED (POL-12),KEEP-transfer
live#71,Drive Lah Ventures Holding Pte Ltd - DBS SGD Incoming from DBS USD Transfer,6,INCOMING,,,CONTAINS,Drive lah Ventures,,,,,,INTERNAL_TRANSFER,,13,,,STRIPPED (POL-12),KEEP-transfer
live#33.1,Drive Lah Pte Ltd - Wise Incoming from 1001 Transfer [split 1/2],7,INCOMING,,,CONTAINS,FROM: Drive Lah Pte. Ltd.,,,,,,INTERNAL_TRANSFER,,1,,,STRIPPED (POL-12),KEEP-transfer-splitfix
live#33.2,Drive Lah Pte Ltd - Wise Incoming from 1001 Transfer [split 2/2],7,INCOMING,,,CONTAINS,Money added,,,,,,INTERNAL_TRANSFER,,1,,,STRIPPED (POL-12),KEEP-transfer-splitfix
live#28,Drive Lah Pte Ltd - 1001 Outgoing to Wise Transfer,8,OUTGOING,,,CONTAINS,FAST PAYMENT OTHR WISE,,,,,,INTERNAL_TRANSFER,,2,,,STRIPPED (POL-12),KEEP-transfer
live#30,Drive Lah Pte Ltd - 3001 Incoming from Stripe Transfer,9,INCOMING,,,CONTAINS,CSDB STRIPE PAYMENTS,,,,,,INTERNAL_TRANSFER,,19,,,STRIPPED (POL-12),KEEP-transfer
live#35,Drive Lah Pte Ltd - Stripe Outgoing to 3001 Transfer,10,OUTGOING,,,CONTAINS,Stripe Payout,,,,,,INTERNAL_TRANSFER,,18,,,STRIPPED (POL-12),KEEP-transfer
live#54.1,Drive Lah Pte Ltd - Wise HR Salary Payments - Padsala Naitik Babubhai [split 1/2],10,INCOMING,,,CONTAINS,TO: Padsala Naitik Babubhai,,,,,,EXPENSE,6000,,,,STRIPPED (POL-12),KEEP-pure-text-splitfix
live#54.2,Drive Lah Pte Ltd - Wise HR Salary Payments - Padsala Naitik Babubhai [split 2/2],10,INCOMING,,,CONTAINS,General,,,,,,EXPENSE,6000,,,,STRIPPED (POL-12),KEEP-pure-text-splitfix
live#57.1,Drive Lah Pte Ltd - Wise HR Salary Payments - Pankaj M Patidar [split 1/2],10,INCOMING,,,CONTAINS,TO: Pankaj M Patidar,,,,,,EXPENSE,6000,,,,STRIPPED (POL-12),KEEP-pure-text-splitfix
live#57.2,Drive Lah Pte Ltd - Wise HR Salary Payments - Pankaj M Patidar [split 2/2],10,INCOMING,,,CONTAINS,General,,,,,,EXPENSE,6000,,,,STRIPPED (POL-12),KEEP-pure-text-splitfix
live#60.1,Drive Lah Pte Ltd - Wise HR Salary Payments - Joel Michael Wecker [split 1/2],10,INCOMING,,,CONTAINS,TO: Joel Michael Wecker,,,,,,EXPENSE,6000,,,,STRIPPED (POL-12),KEEP-pure-text-splitfix
live#60.2,Drive Lah Pte Ltd - Wise HR Salary Payments - Joel Michael Wecker [split 2/2],10,INCOMING,,,CONTAINS,General,,,,,,EXPENSE,6000,,,,STRIPPED (POL-12),KEEP-pure-text-splitfix
live#66,Drive Lah Pte Ltd - Tech Vendor - Paddle,10,INCOMING,,,CONTAINS,PADDLE.NET,,,,,,EXPENSE,6701,,,,STRIPPED (POL-12),KEEP-pure-text
live#238.1,Drive Lah Ventures Holding Pte Ltd - Transfer Agent Charges [split 1/2],20,INCOMING,,,CONTAINS,TRANSFER AGENT CHARGES,,,,,,INTERNAL_TRANSFER,6600,,,,STRIPPED (POL-12),KEEP-transfer-splitfix
live#238.2,Drive Lah Ventures Holding Pte Ltd - Transfer Agent Charges [split 2/2],20,INCOMING,,,CONTAINS,ADVICE,,,,,,INTERNAL_TRANSFER,6600,,,,STRIPPED (POL-12),KEEP-transfer-splitfix
live#239.1,Drive Lah Ventures Holding Pte Ltd - OCBC Bank Charges [split 1/2],21,OUTGOING,,,CONTAINS,DRIVE LAH PTE LTD,,,,,,EXPENSE,6600,,,,STRIPPED (POL-12),KEEP-pure-text-splitfix
live#239.2,Drive Lah Ventures Holding Pte Ltd - OCBC Bank Charges [split 2/2],21,OUTGOING,,,CONTAINS,charges,,,,,,EXPENSE,6600,,,,STRIPPED (POL-12),KEEP-pure-text-splitfix
