#,txn_date,value_date,amount,running_balance,description
1,2024-10-31,2024-11-01,-1.81,16292.91,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
2,2024-10-31,2024-11-01,-1.81,16291.10,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
3,2024-10-31,2024-11-01,-1.81,16289.29,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
4,2024-10-31,2024-11-01,-1.81,16287.48,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
5,2024-10-31,2024-11-01,-1.81,16285.67,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
6,2024-10-31,2024-11-01,-1.81,16283.86,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
7,2024-10-31,2024-11-01,-204.68,16079.18,"DEBIT PURCHASE USD 150.00 28/10/24 xx-8724 PAPERTRAIL-SOLARWINDS 866 RNB05ESNB\1 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured. A/C Account 账户 INT Interest 利息 A/C CLOSED Account Closed 关闭账户 I/COLLN Inward Collection 进口托收 ATM O ATM Overseas 海外自动柜员机 IBG Inter-Bank GIRO 财路 ATM PAYMENT Automated Teller Machine Payment 自动柜员机付款 INB Internet Banking 网络银行 ATM TRANSFER Automated Teller Machine Transfer 自动柜员机转账 INB TRANSFER Internet Banking Transfer 网络银行转账 ACU Foreign Currency 外币 INS Insurance 保险 ADJ Adjustment 调整 L/C Letter of Credit 信用证 ADV Advance 预付款 L CHQ Late Cheque 逾期支票 AMD Amendment 修改 MER Merchant 信用卡特约商家 ASI Automated Standing Instruction 自动长期指示 NEGN Negotiation 信用证议付 BANK CHARGES Bank Charges 银行费用 NETS NETS 电子转账网络系统 BAL Balance 余款 NOM Nominee 信托人 C/Order Cashier's Order 本票 O/COLLN Outward Collection 出口托收 CHQ DP Cheque Deposit 支票存入 PAYMENT-MAS MEPS Payment 货币管理(MAS)电子付款系统-付款 CC Cash Card 现金卡 PER LOAN Personal Loan 个人贷款 CDP Central Depository 中央托收私人有限公司 PHN TRANSFER PhoneBank Transfer 电话银行转账 COM Commission 佣金 POS Point of Sale 销售终端 CONV Conversion 外币兌換 POST Postage 邮费 CR Credit 货方/存货 PREM Premium 保险费 CRVISA VISA Electron Credit 维萨电子付款 PS Power Supply 能源供应公司 CANC TT Telegraphic Transfer Cancellation 电子汇款撤消 REIMB Reimbursement 偿付 DIV Dividend 股息 RTN GIRO Return GIRO 退回财路 DR Debit 借方/付出 RTN CHQ Return Cheque 退回支票 DD Demand Draft 即期汇票 RECEIPTS-MAS MEPS Receipts 货币管理局电子付款系统-存入 DVE VISA Electron Purchases 维萨电子 SEC Security 证券 DDB Direct Debit 直接财路付款 SGD Singapore Dollar 新币 DCR Direct Credit 直接财路存款 SATM Shared ATM 供享自动柜员机 EPS Electronic Payment of Shares 电子购股付款 ST SingTel 新电信 ES EasiSave 易式储蓄户口 SER CHARGE Service Charge 服务费 ES FIXED FEE EasiSave Fixed Fee 易式账户固定费用 SHR Share NETS 供享电子转账网络系统 ESA Electronic Share Application 电子股票认购 T/R Trust Receipt 信托收据 EXPORT LOAN Export Loan 出口贷款 TT Telegraphic Transfer 电子付款 FCY Foreign Currency 外币 TRAN CHARGE Transaction Charge 交易费用 HSE LOAN House Loan 房屋贷款 TRADE FINANCE Trade Finance 货易融资 IMPORT LOAN Import Loan 进口贷款 TRANSFER Transfer 转账 Contact for Consumer Banking: 1800 363 3333 Contact for Business Banking:(65) 6538 1111 APPLICATIONS FOR INDIVIDUALS ATM Card INTERNET/MOBILE BANKING Application for Banking Services Apply at any OCBC Bank Branch Three easy ways to apply:- 1. Apply at any OCBC ATM with your ATM Card and PIN. Select 'Other Services' Select 'Internet Banking/Mobile Banking Application'; or 2. Download and complete the 'Internet/Mobile Banking Services Form (Personal)' available at www.ocbc.com, and mail it back to the address stated on the form or 3. Apply at any OCBC Branch. eBANKING APPLICATIONS FOR BUSINESSES ATM Card INTERNET BANKING Application for Access Apply at any OCBC Bank Branch Complete the Apply & Manage OCBC Velocity Account Form available at www.ocbc.com, and mail it back to the address stated on the form. Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
8,2024-10-31,2024-11-01,-272.94,15806.24,DEBIT PURCHASE USD 200.02 28/10/24 xx-4699 Twilio DTF98NLXCM299Z5 San
9,2024-10-31,2024-11-01,-1.80,15804.44,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
10,2024-10-31,2024-11-01,-1.80,15802.64,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
