id,company_id,vendor_name,qb_vendor_id,currency,default_expense_account,upload_type,upload_batch_id,status,error_message,vendor_data,qb_response,created_at,updated_at
54,9130354593661056,1 Key Locksmiths,305,AUD,49,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '49', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""1 Key Locksmiths""}","{""Id"": ""305"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:19-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:19-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""1 Key Locksmiths"", ""PrintOnCheckName"": ""1 Key Locksmiths""}",09:19.3,09:19.3
197,9130354593661056,1ST CLASS TOWING PTY LTD,389,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""1ST CLASS TOWING PTY LTD""}","{""Id"": ""389"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:05:42-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:05:42-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""1ST CLASS TOWING PTY LTD"", ""PrintOnCheckName"": ""1ST CLASS TOWING PTY LTD""}",05:43.2,05:43.2
196,9130354593661056,AAAC Towing Pty Ltd,388,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""AAAC Towing Pty Ltd""}","{""Id"": ""388"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:05:40-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:05:40-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""AAAC Towing Pty Ltd"", ""PrintOnCheckName"": ""AAAC Towing Pty Ltd""}",05:40.1,05:40.1
219,9130354593661056,AAI Ltd,396,AUD,91,single,,created,,"{""Notes"": ""Metadata: {'default_expense_account': '91', 'created_by': 'vendor_manager'}"", ""CompanyName"": ""AAI Ltd"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""AAI Ltd""}","{""Id"": ""396"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-21T03:08:41-07:00"", ""LastUpdatedTime"": ""2025-07-21T03:08:41-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CompanyName"": ""AAI Ltd"", ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""AAI Ltd"", ""PrintOnCheckName"": ""AAI Ltd""}",08:41.7,08:41.7
74,9130348479446096,Abwin Leasing,388,SGD,184,sync,sg_sync_20250703_170957,created,,"{""Id"": ""388"", ""DisplayName"": ""Abwin Leasing""}","{""Id"": ""388"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:34-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:34-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""Abwin Leasing"", ""PrintOnCheckName"": ""Abwin Leasing""}",10:01.0,14:17.0
55,9130354593661056,ACE,306,AUD,94,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '94', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""ACE""}","{""Id"": ""306"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:21-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:21-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""ACE"", ""PrintOnCheckName"": ""ACE""}",09:21.6,09:21.6
56,9130354593661056,ACT Collision Management,307,AUD,156,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""ACT Collision Management""}","{""Id"": ""307"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:24-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:24-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""ACT Collision Management"", ""PrintOnCheckName"": ""ACT Collision Management""}",09:24.0,09:24.0
57,9130354593661056,Action Towing Pty Ltd,308,AUD,156,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Action Towing Pty Ltd""}","{""Id"": ""308"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:26-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:26-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Action Towing Pty Ltd"", ""PrintOnCheckName"": ""Action Towing Pty Ltd""}",09:26.2,09:26.2
75,9130348479446096,Aircall,389,USD,17,sync,sg_sync_20250703_170957,created,,"{""Id"": ""389"", ""DisplayName"": ""Aircall""}","{""Id"": ""389"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:36-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:36-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""United States Dollar"", ""value"": ""USD""}, ""DisplayName"": ""Aircall"", ""PrintOnCheckName"": ""Aircall""}",10:01.3,14:17.4
76,9130348479446096,Alpine Car Rental,390,SGD,184,sync,sg_sync_20250703_170957,created,,"{""Id"": ""390"", ""DisplayName"": ""Alpine Car Rental""}","{""Id"": ""390"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:38-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:38-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""Alpine Car Rental"", ""PrintOnCheckName"": ""Alpine Car Rental""}",10:01.6,14:17.7
