txn_id,date,amount,currency,description,matched_counterparty,counterparty_id,match_tier,counterparty_default_coa
95743,2025-08-26,50000.00,USD,Topped up account,,,none,
95744,2025-08-26,-50000.00,USD,"Converted 50,000.00 USD to 76,837.88 AUD",,,none,
95745,2025-08-27,249987.78,USD,Topped up account,,,none,
95746,2025-08-27,-116824.07,USD,"Converted 116,824.07 USD to 150,000.00 SGD",,,none,
95747,2025-08-27,-33000.00,USD,"Converted 33,000.00 USD to 50,779.41 AUD",,,none,
95748,2025-08-28,-55000.00,USD,"Converted 55,000.00 USD to 84,255.74 AUD",,,none,
95749,2025-08-28,-10000.00,USD,"Converted 10,000.00 USD to 15,324.01 AUD",,,none,
95750,2025-08-29,-10000.00,USD,"Converted 10,000.00 USD to 15,277.10 AUD",,,none,
95751,2025-09-03,-20000.00,USD,"Converted 20,000.00 USD to 30,607.90 AUD",,,none,
95752,2025-09-04,-5100.00,USD,"Converted 5,100.00 USD to 7,782.17 AUD",,,none,
95753,2025-09-05,99993.89,USD,Topped up account,,,none,
95754,2025-09-09,-25000.00,USD,"Converted 25,000.00 USD to 37,813.70 AUD",,,none,
95755,2025-09-09,-5000.00,USD,"Converted 5,000.00 USD to 6,397.21 SGD",,,none,
95756,2025-09-10,-55000.00,USD,"Converted 55,000.00 USD to 83,360.30 AUD",,,none,
95757,2025-09-11,-5000.00,USD,"Converted 5,000.00 USD to 7,488.41 AUD",,,none,
95758,2025-09-11,-2000.00,USD,"Converted 2,000.00 USD to 2,557.49 SGD",,,none,
95759,2025-09-17,-2000.00,USD,"Converted 2,000.00 USD to 2,989.98 AUD",,,none,
95760,2025-09-22,-2000.00,USD,"Converted 2,000.00 USD to 2,565.47 SGD",,,none,
95761,2025-10-03,-2500.00,USD,"Converted 2,500.00 USD to 3,781.89 AUD",,,none,
95762,2025-11-05,-1500.00,USD,Sent money to Drive Lah Pte. Ltd.,,,none,
95763,2025-11-05,8968.89,USD,Topped up account,,,none,
95764,2025-11-05,-9000.00,USD,Sent money to Drive Lah Pte. Ltd.,,,none,
